,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
New Jersey,83,14,19,21,1,4.0,2.0,4.0,52.0,38.0,65.0,54.0,14.0,5.0,4.0,1,4,5,5,54,65.0,2.0,1.0,1.0,0.0,26.0,5.0,54.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0
New Mexico,84,18,19,21,1,3.0,2.0,3.0,58.0,28.0,62.0,64.0,19.0,9.0,7.0,0,13,4,4,100,,,,,,,,,,,,,,,
New York,68,12,14,16,1,3.0,1.0,2.0,39.0,27.0,52.0,40.0,13.0,4.0,4.0,0,2,7,5,41,43.0,0.0,0.0,1.0,0.0,15.0,4.0,48.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0
North Carolina,79,15,15,20,1,5.0,2.0,3.0,60.0,37.0,70.0,49.0,13.0,9.0,7.0,1,7,6,4,66,64.0,1.0,0.0,1.0,0.0,0.0,9.0,59.0,32.0,0.0,0.0,0.0,0.0,12.0,0.0
North Dakota,94,13,16,20,1,,,,,,0.0,62.0,28.0,5.0,21.0,10,0,31,0,70,,,,,,,,,,,,,,,
Ohio,81,17,16,22,1,4.0,2.0,2.0,57.0,39.0,70.0,59.0,19.0,4.0,8.0,1,4,10,3,79,69.0,0.0,0.0,1.0,0.0,24.0,3.0,60.0,34.0,0.0,,,,,
Oklahoma,93,19,16,24,1,4.0,0.0,2.0,66.0,41.0,78.0,65.0,23.0,10.0,4.0,0,2,9,5,61,100.0,2.0,0.0,2.0,0.0,,,,,,,,,,
Oregon,80,12,15,18,0,3.0,2.0,3.0,60.0,43.0,63.0,53.0,12.0,3.0,5.0,0,1,7,3,52,75.0,0.0,1.0,2.0,0.0,0.0,7.0,63.0,20.0,0.0,,,,,
Pennsylvania,82,15,17,22,1,4.0,1.0,3.0,48.0,32.0,62.0,54.0,19.0,5.0,6.0,0,4,6,5,66,60.0,1.0,0.0,2.0,0.0,27.0,7.0,54.0,31.0,0.0,0.0,0.0,9.0,0.0,0.0
Rhode Island,90,15,16,24,1,2.0,0.0,0.0,44.0,28.0,36.0,71.0,17.0,8.0,5.0,0,0,5,11,97,,,,,,,,,,,0.0,0.0,100.0,0.0,0.0
South Carolina,85,17,18,20,1,6.0,1.0,3.0,62.0,31.0,67.0,69.0,27.0,5.0,6.0,0,2,5,4,56,66.0,1.0,0.0,1.0,0.0,0.0,0.0,82.0,23.0,0.0,0.0,0.0,0.0,34.0,0.0
South Dakota,91,17,21,26,1,4.0,0.0,0.0,100.0,0.0,,,,,,0,0,10,10,58,,,,,,,,,,,,,,,
Tennessee,82,17,23,26,1,3.0,2.0,3.0,70.0,41.0,82.0,47.0,17.0,8.0,4.0,1,2,5,4,98,64.0,0.0,0.0,2.0,0.0,22.0,3.0,68.0,15.0,0.0,0.0,0.0,23.0,0.0,0.0
Texas,75,15,14,19,1,5.0,2.0,3.0,50.0,31.0,61.0,52.0,15.0,5.0,6.0,1,3,5,4,51,57.0,1.0,0.0,1.0,0.0,23.0,8.0,55.0,23.0,0.0,4.0,0.0,0.0,7.0,0.0
Utah,79,14,17,19,0,4.0,2.0,3.0,51.0,46.0,69.0,67.0,12.0,2.0,5.0,2,5,9,2,52,62.0,0.0,0.0,2.0,0.0,0.0,6.0,61.0,6.0,0.0,,,,,
Vermont,89,14,13,20,1,0.0,0.0,0.0,62.0,0.0,0.0,76.0,15.0,9.0,5.0,0,9,9,0,82,,,,,,,,,,,,,,,
Virginia,78,16,15,16,1,4.0,2.0,2.0,41.0,36.0,71.0,47.0,14.0,4.0,3.0,0,3,7,4,74,61.0,1.0,1.0,1.0,0.0,0.0,3.0,55.0,25.0,0.0,0.0,0.0,0.0,13.0,0.0
Washington,76,14,16,20,1,1.0,3.0,2.0,54.0,29.0,67.0,53.0,11.0,5.0,6.0,0,3,5,7,51,52.0,0.0,0.0,2.0,0.0,0.0,5.0,51.0,21.0,0.0,,,,,
West Virginia,100,26,25,22,0,6.0,2.0,2.0,93.0,53.0,85.0,77.0,24.0,3.0,17.0,0,5,17,11,37,,,,,,,,,,,,,,,
Wisconsin,81,14,18,25,1,3.0,2.0,3.0,53.0,47.0,74.0,60.0,20.0,8.0,8.0,0,2,14,4,61,66.0,1.0,0.0,2.0,0.0,0.0,3.0,55.0,15.0,0.0,,,,,
Wyoming,61,17,23,21,0,6.0,0.0,0.0,70.0,0.0,,,,,,0,0,34,0,38,,,,,,,,,,,,,,,
