,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,86,18,19,22,2,8.0,1.0,4.0,61.0,35.0,62.0,73.0,17.0,13.0,3.0,0,4,10,10,57,69.0,0.0,0.0,8.0,0.0,0.0,5.0,58.0,36.0,0.0,0.0,0.0,38.0,0.0,0.0
Alaska,85,21,17,15,0,10.0,0.0,3.0,49.0,0.0,,,,,,0,0,0,0,18,,,,,,,,,,,,,,,
Arizona,81,15,18,21,1,5.0,2.0,1.0,64.0,44.0,77.0,53.0,17.0,5.0,4.0,1,5,7,6,66,64.0,0.0,1.0,2.0,0.0,0.0,9.0,56.0,23.0,0.0,,,,,
Arkansas,95,16,16,22,1,1.0,0.0,6.0,69.0,20.0,74.0,63.0,20.0,8.0,0.0,0,4,11,7,51,99.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,,,,,
California,68,13,16,16,0,3.0,1.0,2.0,45.0,30.0,59.0,42.0,14.0,3.0,4.0,0,3,7,6,38,59.0,1.0,0.0,0.0,0.0,24.0,7.0,45.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0
Colorado,69,11,14,18,1,2.0,2.0,2.0,44.0,31.0,54.0,42.0,14.0,5.0,6.0,0,5,10,3,43,51.0,1.0,1.0,0.0,0.0,0.0,9.0,54.0,19.0,0.0,,,,,
Connecticut,78,13,15,19,1,2.0,1.0,3.0,42.0,37.0,72.0,44.0,11.0,5.0,7.0,0,3,8,3,60,63.0,1.0,0.0,0.0,0.0,0.0,8.0,49.0,20.0,0.0,0.0,0.0,0.0,29.0,0.0
Delaware,82,13,17,15,0,9.0,3.0,9.0,52.0,0.0,0.0,94.0,22.0,0.0,8.0,0,0,0,8,27,,,,,,,,,,,,,,,
District of Columbia,71,14,15,15,1,4.0,0.0,3.0,40.0,26.0,60.0,48.0,12.0,5.0,7.0,0,3,4,4,64,48.0,2.0,0.0,1.0,0.0,0.0,0.0,64.0,27.0,0.0,,,,,
Florida,77,15,16,18,1,3.0,1.0,2.0,53.0,31.0,60.0,56.0,19.0,5.0,6.0,1,5,7,6,51,59.0,0.0,1.0,1.0,0.0,24.0,9.0,62.0,26.0,0.0,5.0,0.0,11.0,0.0,0.0
Georgia,75,16,14,17,1,4.0,1.0,3.0,52.0,32.0,60.0,58.0,10.0,5.0,4.0,0,3,7,3,50,55.0,1.0,0.0,0.0,0.0,27.0,5.0,48.0,29.0,0.0,9.0,0.0,0.0,0.0,0.0
Hawaii,82,13,20,13,0,3.0,0.0,2.0,55.0,21.0,78.0,46.0,21.0,2.0,4.0,0,0,9,8,96,,,,,,,,,,,,,,,
Idaho,90,18,16,35,1,2.0,0.0,2.0,65.0,34.0,60.0,68.0,11.0,8.0,0.0,5,5,5,5,40,,,,,,,,,,,,,,,
Illinois,75,16,16,19,1,5.0,0.0,2.0,44.0,31.0,54.0,49.0,15.0,6.0,5.0,0,4,6,6,58,57.0,1.0,0.0,1.0,0.0,20.0,5.0,64.0,18.0,0.0,7.0,0.0,13.0,13.0,0.0
Indiana,96,20,19,26,1,6.0,3.0,3.0,50.0,56.0,82.0,76.0,19.0,4.0,6.0,0,4,10,8,73,80.0,1.0,0.0,3.0,0.0,0.0,6.0,69.0,26.0,0.0,,,,,
Iowa,81,14,17,21,1,4.0,0.0,3.0,47.0,40.0,65.0,51.0,24.0,4.0,1.0,0,7,9,2,58,75.0,4.0,2.0,0.0,0.0,0.0,6.0,37.0,0.0,0.0,,,,,
Kansas,78,18,19,22,1,4.0,0.0,3.0,47.0,31.0,57.0,50.0,17.0,6.0,6.0,0,5,7,2,66,82.0,4.0,0.0,0.0,0.0,0.0,6.0,78.0,43.0,0.0,,,,,
Kentucky,86,19,17,27,1,5.0,1.0,4.0,55.0,25.0,60.0,60.0,17.0,4.0,11.0,2,4,15,8,73,77.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,5.0,0.0,,,,,
Louisiana,80,15,17,24,0,3.0,2.0,1.0,82.0,29.0,78.0,57.0,16.0,3.0,8.0,0,6,12,8,79,57.0,2.0,0.0,3.0,0.0,0.0,0.0,75.0,21.0,0.0,,,,,
Maine,83,15,18,29,1,10.0,0.0,0.0,50.0,0.0,100.0,59.0,27.0,5.0,3.0,0,5,10,5,50,,,,,,,,,,,,,,,
Maryland,88,16,19,23,1,7.0,0.0,3.0,51.0,32.0,72.0,60.0,13.0,8.0,5.0,0,7,9,3,63,60.0,3.0,0.0,1.0,0.0,0.0,9.0,60.0,29.0,0.0,,,,,
Massachusetts,82,12,16,21,1,3.0,1.0,2.0,42.0,33.0,75.0,49.0,13.0,5.0,7.0,0,3,9,8,55,51.0,0.0,1.0,1.0,0.0,0.0,6.0,53.0,31.0,0.0,0.0,0.0,11.0,11.0,0.0
Michigan,74,15,17,23,1,4.0,1.0,4.0,50.0,39.0,64.0,59.0,18.0,4.0,6.0,0,4,10,5,52,57.0,0.0,1.0,1.0,0.0,0.0,8.0,47.0,25.0,0.0,0.0,0.0,12.0,0.0,0.0
Minnesota,76,11,20,20,1,4.0,1.0,2.0,50.0,35.0,60.0,50.0,16.0,6.0,5.0,0,2,8,3,70,72.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0
Mississippi,91,17,17,22,0,3.0,0.0,0.0,51.0,30.0,87.0,74.0,39.0,2.0,4.0,4,8,12,0,63,76.0,0.0,0.0,3.0,0.0,,,,,,,,,,
Missouri,81,16,19,20,1,4.0,2.0,3.0,55.0,41.0,67.0,52.0,19.0,5.0,6.0,0,3,3,2,75,80.0,0.0,1.0,1.0,0.0,0.0,6.0,72.0,34.0,0.0,22.0,0.0,0.0,0.0,0.0
Montana,95,13,19,19,2,3.0,0.0,3.0,57.0,0.0,62.0,81.0,9.0,13.0,4.0,0,8,25,8,66,,,,,,,,,,,,,,,
Nebraska,86,17,17,24,1,1.0,3.0,5.0,57.0,30.0,58.0,65.0,20.0,10.0,2.0,0,13,14,3,34,,,,,,0.0,0.0,35.0,0.0,0.0,,,,,
Nevada,70,15,16,18,1,7.0,1.0,2.0,51.0,31.0,61.0,49.0,11.0,4.0,7.0,0,3,8,5,50,41.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
New Hampshire,86,15,16,17,1,3.0,2.0,5.0,61.0,50.0,75.0,40.0,7.0,4.0,0.0,0,0,4,0,57,,,,,,,,,,,,,,,
