,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Georgia,70,12,14,19,0,3.0,1.0,3.0,54.0,25.0,59.0,42.0,16.0,4.0,7.0,1,5,6,4,72,58.0,1.0,1.0,2.0,0.0,21.0,3.0,38.0,34.0,0.0,,,,,
Hawaii,90,5,16,18,1,3.0,0.0,0.0,52.0,23.0,70.0,46.0,13.0,4.0,0.0,0,6,6,0,58,,,,,,,,,,,,,,,
Idaho,93,15,16,24,1,0.0,10.0,0.0,85.0,33.0,100.0,65.0,49.0,6.0,6.0,0,16,0,0,27,,,,,,,,,,,,,,,
Illinois,83,12,17,19,0,2.0,1.0,3.0,38.0,34.0,54.0,43.0,12.0,4.0,3.0,0,1,7,1,58,69.0,2.0,0.0,2.0,0.0,20.0,5.0,35.0,30.0,0.0,0.0,0.0,33.0,0.0,0.0
Indiana,100,15,23,34,1,5.0,1.0,4.0,63.0,53.0,92.0,79.0,23.0,7.0,6.0,0,0,2,4,71,100.0,0.0,0.0,5.0,0.0,0.0,15.0,68.0,60.0,0.0,0.0,0.0,100.0,0.0,0.0
Iowa,93,9,17,22,1,3.0,6.0,8.0,42.0,41.0,57.0,59.0,24.0,10.0,0.0,5,5,5,0,78,66.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,,,,,
Kansas,78,15,11,22,1,6.0,0.0,0.0,53.0,38.0,86.0,50.0,17.0,5.0,5.0,0,3,3,3,71,68.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,48.0,0.0,,,,,
Kentucky,80,12,13,21,0,3.0,5.0,2.0,58.0,44.0,91.0,45.0,13.0,2.0,6.0,0,3,6,3,67,69.0,3.0,0.0,3.0,0.0,0.0,0.0,63.0,21.0,0.0,,,,,
Louisiana,85,13,16,27,0,5.0,2.0,2.0,76.0,33.0,82.0,43.0,38.0,4.0,8.0,0,11,14,3,70,56.0,0.0,0.0,3.0,0.0,0.0,10.0,70.0,20.0,0.0,,,,,
Maine,86,11,23,17,1,0.0,0.0,0.0,43.0,0.0,70.0,44.0,9.0,4.0,4.0,0,6,6,12,21,,,,,,,,,,,,,,,
Maryland,86,11,18,23,1,4.0,0.0,2.0,38.0,34.0,65.0,55.0,19.0,6.0,3.0,0,0,7,3,63,54.0,0.0,0.0,2.0,0.0,0.0,5.0,45.0,27.0,0.0,,,,,
Massachusetts,79,9,14,19,0,3.0,0.0,2.0,35.0,37.0,54.0,38.0,18.0,2.0,5.0,0,5,8,2,51,54.0,0.0,0.0,3.0,0.0,0.0,3.0,48.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0
Michigan,81,10,14,22,1,5.0,1.0,2.0,46.0,47.0,75.0,51.0,17.0,6.0,6.0,0,2,8,1,60,67.0,1.0,0.0,1.0,0.0,,,,,,,,,,
Minnesota,83,11,17,23,1,3.0,0.0,5.0,52.0,49.0,68.0,61.0,23.0,6.0,6.0,0,3,5,4,62,48.0,0.0,3.0,4.0,0.0,0.0,5.0,44.0,14.0,0.0,,,,,
Mississippi,76,12,16,17,1,7.0,0.0,3.0,43.0,30.0,69.0,66.0,25.0,8.0,4.0,0,0,0,0,50,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,87,13,16,25,1,4.0,1.0,4.0,56.0,39.0,85.0,46.0,24.0,5.0,6.0,0,1,1,2,73,79.0,1.0,0.0,1.0,0.0,0.0,4.0,55.0,25.0,0.0,,,,,
Montana,71,10,16,19,2,0.0,0.0,0.0,54.0,0.0,42.0,30.0,29.0,18.0,9.0,0,13,0,0,43,,,,,,,,,,,,,,,
Nebraska,80,11,20,23,0,9.0,0.0,6.0,40.0,39.0,55.0,46.0,35.0,0.0,11.0,0,0,5,5,58,,,,,,0.0,19.0,58.0,0.0,0.0,,,,,
Nevada,79,13,11,16,1,2.0,0.0,2.0,76.0,30.0,80.0,33.0,21.0,10.0,7.0,0,0,3,3,58,49.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,,,,,
New Hampshire,83,9,16,25,1,4.0,0.0,4.0,42.0,33.0,54.0,68.0,9.0,9.0,4.0,0,0,24,12,41,,,,,,,,,,,,,,,
New Jersey,76,10,14,17,1,3.0,2.0,3.0,61.0,35.0,61.0,44.0,18.0,4.0,5.0,0,3,5,2,42,59.0,2.0,1.0,2.0,0.0,17.0,5.0,43.0,22.0,0.0,0.0,0.0,0.0,33.0,0.0
New Mexico,98,14,19,27,1,0.0,0.0,0.0,56.0,25.0,48.0,76.0,38.0,5.0,21.0,0,14,15,0,98,,,,,,,,,,,,,,,
New York,72,10,13,17,1,3.0,1.0,4.0,41.0,29.0,47.0,39.0,15.0,5.0,4.0,0,3,7,4,48,51.0,1.0,0.0,1.0,0.0,21.0,4.0,32.0,22.0,0.0,,,,,
North Carolina,76,12,15,20,1,3.0,1.0,3.0,48.0,31.0,57.0,45.0,25.0,5.0,6.0,0,3,6,1,49,57.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,27.0,0.0,0.0,0.0,45.0,0.0,0.0
North Dakota,89,7,7,24,0,,,,,,,,,,,0,0,15,0,66,,,,,,,,,,,,,,,
Ohio,76,12,15,21,1,6.0,1.0,4.0,48.0,44.0,65.0,51.0,16.0,6.0,10.0,0,2,3,6,47,59.0,0.0,0.0,1.0,0.0,23.0,3.0,59.0,46.0,0.0,,,,,
Oklahoma,80,14,14,22,1,2.0,0.0,4.0,53.0,25.0,56.0,74.0,17.0,9.0,2.0,0,0,3,3,63,59.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Oregon,74,12,18,18,1,0.0,2.0,9.0,40.0,32.0,69.0,56.0,16.0,6.0,8.0,0,2,18,6,55,83.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,14.0,0.0,,,,,
Pennsylvania,82,11,17,23,1,4.0,2.0,4.0,51.0,39.0,64.0,43.0,20.0,7.0,6.0,1,2,5,2,64,85.0,1.0,0.0,3.0,0.0,26.0,5.0,39.0,45.0,0.0,,,,,
Rhode Island,66,13,12,21,0,11.0,0.0,4.0,31.0,30.0,41.0,40.0,19.0,0.0,9.0,0,19,6,6,64,,,,,,,,,,,,,,,
South Carolina,82,13,13,23,0,2.0,0.0,2.0,69.0,41.0,73.0,64.0,21.0,0.0,7.0,0,0,3,6,58,48.0,0.0,3.0,3.0,0.0,0.0,0.0,45.0,22.0,0.0,,,,,
South Dakota,73,11,13,17,2,,,,,,0.0,69.0,24.0,15.0,8.0,0,0,11,11,48,,,,,,,,,,,,,,,
Tennessee,86,17,19,24,1,2.0,1.0,6.0,49.0,31.0,79.0,53.0,17.0,11.0,5.0,0,0,8,2,93,73.0,0.0,0.0,0.0,0.0,28.0,14.0,94.0,21.0,0.0,0.0,0.0,0.0,95.0,0.0
Texas,77,12,15,18,1,3.0,1.0,3.0,49.0,26.0,62.0,39.0,21.0,4.0,4.0,1,3,4,3,50,60.0,1.0,0.0,2.0,0.0,23.0,3.0,53.0,25.0,0.0,,,,,
Utah,82,9,14,25,0,0.0,0.0,2.0,53.0,44.0,76.0,66.0,21.0,0.0,5.0,0,0,14,3,84,53.0,4.0,0.0,0.0,0.0,,,,,,,,,,
Vermont,78,15,15,23,1,,,,,,,,,,,0,0,0,0,90,,,,,,,,,,,,,,,
Virginia,59,7,8,10,0,1.0,1.0,1.0,26.0,18.0,34.0,29.0,30.0,2.0,3.0,0,2,2,2,32,28.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0
Washington,74,11,17,17,1,3.0,2.0,3.0,47.0,32.0,59.0,47.0,16.0,8.0,7.0,0,4,6,5,72,73.0,1.0,0.0,0.0,0.0,0.0,3.0,56.0,14.0,0.0,0.0,0.0,47.0,0.0,0.0
West Virginia,81,9,20,28,2,0.0,0.0,0.0,100.0,26.0,95.0,52.0,19.0,18.0,9.0,0,0,0,0,100,,,,,,,,,,,,,,,
Wisconsin,73,11,17,21,0,2.0,2.0,5.0,46.0,42.0,53.0,43.0,20.0,1.0,7.0,0,2,5,8,58,54.0,0.0,2.0,2.0,0.0,0.0,0.0,58.0,11.0,0.0,,,,,
Wyoming,86,8,10,14,0,0.0,0.0,0.0,64.0,0.0,0.0,87.0,27.0,0.0,13.0,0,0,18,0,20,,,,,,,,,,,,,,,
