,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,82,17,16,27,0,4.0,2.0,7.0,71.0,46.0,75.0,46.0,16.0,2.0,6.0,0,9,6,0,47,62.0,0.0,0.0,3.0,0.0,0.0,32.0,100.0,22.0,0.0,,,,,
Alaska,67,15,24,18,1,17.0,0.0,12.0,27.0,0.0,,,,,,0,9,10,0,97,,,,,,,,,,,,,,,
Arizona,77,9,17,18,0,2.0,1.0,6.0,55.0,39.0,60.0,57.0,16.0,3.0,4.0,0,0,1,8,62,45.0,1.0,0.0,0.0,0.0,0.0,13.0,42.0,27.0,0.0,,,,,
Arkansas,86,11,12,17,1,6.0,0.0,3.0,49.0,46.0,64.0,51.0,24.0,7.0,7.0,0,0,5,0,65,55.0,6.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,,,,,
California,64,7,11,12,0,2.0,1.0,2.0,31.0,21.0,41.0,31.0,21.0,4.0,5.0,0,2,4,1,33,43.0,1.0,0.0,1.0,0.0,16.0,4.0,31.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0
Colorado,67,9,13,15,1,1.0,0.0,2.0,53.0,34.0,66.0,49.0,11.0,4.0,1.0,0,2,5,2,54,64.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,13.0,0.0,,,,,
Connecticut,74,9,15,24,0,0.0,2.0,5.0,47.0,34.0,57.0,50.0,12.0,1.0,7.0,0,2,10,10,30,37.0,0.0,4.0,2.0,0.0,0.0,0.0,57.0,7.0,0.0,,,,,
Delaware,97,20,20,19,3,0.0,0.0,0.0,74.0,0.0,0.0,73.0,23.0,22.0,22.0,0,15,15,15,0,,,,,,,,,,,,,,,
District of Columbia,71,11,15,15,1,4.0,1.0,3.0,43.0,15.0,61.0,47.0,12.0,7.0,5.0,0,0,6,5,58,52.0,1.0,1.0,4.0,0.0,0.0,0.0,59.0,4.0,0.0,,,,,
Florida,75,12,14,17,0,3.0,2.0,3.0,56.0,31.0,52.0,49.0,21.0,4.0,6.0,0,1,3,4,54,56.0,1.0,1.0,2.0,0.0,8.0,2.0,50.0,20.0,0.0,,,,,
