,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Georgia,68,8,11,14,1,7.0,1.0,7.0,58.0,32.0,56.0,37.0,23.0,6.0,6.0,0,4,2,1,56,66.0,0.0,0.0,0.0,0.0,26.0,22.0,45.0,22.0,0.0,,,,,
Hawaii,73,8,6,14,1,0.0,0.0,0.0,45.0,55.0,55.0,27.0,32.0,6.0,0.0,0,0,9,0,41,,,,,,,,,,,0.0,0.0,100.0,0.0,0.0
Idaho,84,7,14,26,2,0.0,0.0,0.0,42.0,25.0,65.0,27.0,0.0,25.0,8.0,0,0,0,6,28,,,,,,,,,,,,,,,
Illinois,69,8,12,14,0,2.0,1.0,3.0,52.0,37.0,49.0,40.0,19.0,5.0,6.0,0,3,3,3,56,64.0,1.0,1.0,3.0,0.0,21.0,0.0,34.0,27.0,0.0,0.0,0.0,11.0,0.0,0.0
Indiana,96,10,15,24,0,0.0,2.0,7.0,43.0,27.0,73.0,41.0,39.0,5.0,15.0,2,6,6,0,66,55.0,0.0,0.0,7.0,0.0,0.0,0.0,66.0,44.0,0.0,,,,,
Iowa,79,8,12,19,0,9.0,0.0,9.0,51.0,50.0,100.0,25.0,5.0,0.0,5.0,0,7,3,0,31,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,,,,,
Kansas,76,7,13,13,0,22.0,0.0,0.0,32.0,27.0,66.0,30.0,8.0,0.0,8.0,0,0,0,0,86,74.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Kentucky,82,9,11,18,0,5.0,2.0,3.0,83.0,32.0,64.0,44.0,14.0,5.0,8.0,0,0,2,2,55,82.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,,,,,
Louisiana,68,7,15,16,1,3.0,0.0,0.0,57.0,28.0,59.0,34.0,15.0,7.0,0.0,0,0,3,3,56,35.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Maine,81,6,9,23,0,7.0,0.0,0.0,30.0,0.0,50.0,32.0,0.0,0.0,0.0,0,0,0,0,69,,,,,,,,,,,,,,,
Maryland,77,7,14,16,1,3.0,3.0,6.0,45.0,26.0,53.0,34.0,22.0,8.0,8.0,0,1,5,1,50,64.0,0.0,2.0,2.0,0.0,0.0,0.0,58.0,7.0,0.0,,,,,
Massachusetts,66,5,11,15,1,4.0,1.0,7.0,33.0,31.0,53.0,26.0,20.0,8.0,4.0,0,1,4,4,43,47.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,44.0,0.0,0.0
Michigan,64,9,12,15,0,4.0,2.0,6.0,60.0,26.0,75.0,28.0,18.0,2.0,6.0,0,1,3,1,61,53.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,25.0,0.0,,,,,
Minnesota,79,6,13,14,1,1.0,1.0,0.0,54.0,42.0,60.0,31.0,31.0,9.0,8.0,0,2,5,0,73,93.0,0.0,2.0,0.0,0.0,0.0,7.0,54.0,27.0,0.0,,,,,
Mississippi,79,12,12,12,1,6.0,0.0,6.0,66.0,38.0,72.0,56.0,14.0,7.0,7.0,0,0,0,14,93,47.0,0.0,0.0,8.0,0.0,,,,,,,,,,
Missouri,75,8,11,17,1,4.0,0.0,4.0,62.0,25.0,74.0,48.0,20.0,6.0,6.0,0,4,6,2,70,62.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,13.0,0.0,,,,,
Montana,82,9,6,19,0,0.0,0.0,0.0,80.0,0.0,30.0,14.0,28.0,0.0,13.0,0,0,10,0,56,,,,,,,,,,,,,,,
Nebraska,72,7,12,18,0,5.0,5.0,5.0,69.0,11.0,32.0,50.0,24.0,0.0,12.0,0,4,0,9,63,,,,,,,,,,,,,,,
Nevada,62,7,11,12,0,4.0,0.0,0.0,55.0,40.0,66.0,20.0,14.0,5.0,5.0,0,0,0,0,27,52.0,0.0,0.0,0.0,0.0,,,,,,,,,,
New Hampshire,63,6,11,14,0,7.0,0.0,0.0,50.0,35.0,31.0,46.0,15.0,0.0,7.0,0,0,0,10,18,,,,,,,,,,,,,,,
New Jersey,68,8,14,14,1,3.0,3.0,3.0,51.0,28.0,46.0,38.0,18.0,7.0,5.0,0,1,3,2,45,59.0,2.0,3.0,0.0,0.0,33.0,0.0,41.0,18.0,0.0,0.0,0.0,0.0,14.0,0.0
New Mexico,100,4,12,24,0,7.0,0.0,0.0,68.0,51.0,93.0,25.0,16.0,0.0,0.0,0,0,0,11,57,,,,,,,,,,,,,,,
New York,61,6,11,13,0,2.0,1.0,4.0,39.0,28.0,48.0,27.0,19.0,5.0,5.0,0,1,3,1,49,45.0,0.0,0.0,1.0,0.0,16.0,0.0,31.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0
North Carolina,78,9,11,17,0,2.0,1.0,9.0,59.0,43.0,47.0,43.0,24.0,5.0,7.0,0,1,4,0,70,69.0,0.0,0.0,2.0,0.0,0.0,15.0,61.0,15.0,0.0,0.0,0.0,18.0,0.0,0.0
North Dakota,96,14,11,21,0,16.0,0.0,16.0,89.0,0.0,,,,,,0,0,0,0,30,,,,,,,,,,,,,,,
Ohio,71,9,10,17,0,6.0,0.0,4.0,54.0,29.0,60.0,51.0,19.0,5.0,9.0,0,3,6,1,68,55.0,0.0,0.0,0.0,0.0,24.0,4.0,41.0,28.0,0.0,,,,,
Oklahoma,85,15,11,14,1,7.0,0.0,4.0,93.0,31.0,63.0,35.0,29.0,12.0,0.0,0,6,6,0,50,81.0,0.0,0.0,5.0,0.0,0.0,0.0,53.0,0.0,0.0,,,,,
Oregon,66,7,12,15,0,4.0,0.0,4.0,67.0,29.0,58.0,22.0,11.0,4.0,8.0,2,2,5,3,56,45.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,27.0,0.0,0.0,0.0,33.0,0.0,0.0
Pennsylvania,74,9,13,17,0,4.0,1.0,8.0,54.0,36.0,64.0,43.0,26.0,5.0,8.0,0,1,4,1,49,60.0,2.0,1.0,3.0,0.0,19.0,10.0,32.0,32.0,0.0,0.0,0.0,12.0,0.0,0.0
Rhode Island,69,5,13,11,0,0.0,0.0,0.0,43.0,14.0,79.0,31.0,22.0,0.0,0.0,0,0,5,0,65,,,,,,,,,,,,,,,
South Carolina,65,12,10,17,1,0.0,3.0,10.0,89.0,17.0,55.0,38.0,4.0,7.0,7.0,0,5,3,0,56,40.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,15.0,0.0,,,,,
South Dakota,59,8,13,24,1,0.0,0.0,0.0,42.0,0.0,,,,,,0,0,10,0,70,,,,,,,,,,,,,,,
Tennessee,79,10,15,19,1,4.0,0.0,4.0,78.0,32.0,67.0,42.0,10.0,9.0,2.0,0,2,2,2,66,86.0,3.0,0.0,3.0,0.0,40.0,20.0,71.0,20.0,0.0,,,,,
Texas,68,9,11,15,0,3.0,0.0,6.0,61.0,36.0,48.0,38.0,18.0,3.0,10.0,0,1,3,1,53,60.0,1.0,0.0,1.0,0.0,23.0,7.0,40.0,26.0,0.0,,,,,
Utah,75,5,10,19,1,0.0,0.0,20.0,82.0,43.0,57.0,47.0,8.0,7.0,4.0,0,0,3,0,43,32.0,5.0,0.0,0.0,0.0,0.0,0.0,48.0,16.0,0.0,,,,,
Vermont,72,5,7,18,0,0.0,0.0,0.0,33.0,0.0,0.0,18.0,35.0,0.0,17.0,0,0,0,0,42,,,,,,,,,,,,,,,
Virginia,64,7,7,12,0,3.0,2.0,8.0,48.0,39.0,61.0,52.0,15.0,3.0,6.0,0,2,5,1,42,54.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,24.0,0.0,,,,,
Washington,63,8,12,13,0,3.0,3.0,4.0,35.0,34.0,55.0,40.0,11.0,3.0,7.0,0,1,4,2,51,80.0,1.0,1.0,1.0,0.0,0.0,9.0,38.0,19.0,0.0,,,,,
West Virginia,88,15,22,14,0,0.0,0.0,0.0,100.0,16.0,37.0,35.0,17.0,0.0,17.0,0,12,12,0,82,,,,,,,,,,,,,,,
Wisconsin,74,7,11,16,0,7.0,2.0,3.0,44.0,35.0,77.0,37.0,21.0,4.0,6.0,0,4,1,0,52,53.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,0.0,0.0,,,,,
Wyoming,82,9,11,21,2,0.0,0.0,0.0,65.0,0.0,,,,,,0,0,0,0,54,,,,,,,,,,,,,,,
