,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,68,10,13,23,1,0.0,0.0,3.0,63.0,25.0,78.0,59.0,15.0,15.0,4.0,0,3,3,3,28,74.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Alaska,53,10,13,15,1,0.0,11.0,0.0,72.0,0.0,,,,,,0,0,0,0,40,,,,,,,,,,,,,,,
Arizona,68,10,12,16,0,3.0,0.0,8.0,55.0,34.0,54.0,27.0,16.0,5.0,8.0,0,2,7,2,47,41.0,0.0,4.0,0.0,0.0,0.0,6.0,66.0,6.0,0.0,,,,,
Arkansas,82,8,14,14,0,6.0,0.0,0.0,63.0,54.0,70.0,37.0,21.0,0.0,14.0,0,0,0,5,63,39.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,,,,,
California,58,7,10,11,0,4.0,1.0,4.0,46.0,25.0,50.0,24.0,15.0,3.0,5.0,0,3,3,2,34,51.0,1.0,1.0,0.0,0.0,19.0,4.0,28.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0
Colorado,62,5,10,13,0,4.0,1.0,1.0,34.0,29.0,48.0,30.0,8.0,3.0,5.0,0,0,2,2,46,29.0,4.0,2.0,0.0,0.0,0.0,0.0,20.0,33.0,0.0,,,,,
Connecticut,71,7,11,12,0,6.0,0.0,6.0,55.0,34.0,61.0,35.0,9.0,2.0,4.0,0,0,5,0,36,44.0,3.0,0.0,3.0,0.0,0.0,0.0,48.0,28.0,0.0,,,,,
Delaware,80,7,9,7,0,,,,,,,,,,,0,25,0,13,100,,,,,,,,,,,,,,,
District of Columbia,59,9,10,12,0,1.0,1.0,4.0,57.0,14.0,48.0,21.0,12.0,3.0,5.0,0,0,5,0,72,46.0,0.0,0.0,4.0,0.0,0.0,0.0,76.0,14.0,0.0,,,,,
Florida,65,9,13,13,1,5.0,0.0,2.0,62.0,32.0,60.0,34.0,18.0,6.0,8.0,0,0,2,2,36,50.0,1.0,1.0,1.0,0.0,27.0,7.0,50.0,12.0,0.0,,,,,
