,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,92,26,20,28,1,5.0,1.0,4.0,56.0,45.0,91.0,46.0,13.0,6.0,5.0,0,8,5,28,54,71.0,1.0,0.0,0.0,0.0,0.0,5.0,76.0,11.0,0.0,0.0,0.0,44.0,0.0,0.0
Alaska,92,30,16,18,0,4.0,0.0,2.0,81.0,0.0,,,,,,0,0,0,23,87,,,,,,,,,,,,,,,
Arizona,88,19,20,23,1,4.0,1.0,2.0,79.0,43.0,76.0,32.0,13.0,4.0,5.0,1,10,12,20,57,89.0,0.0,0.0,2.0,0.0,0.0,9.0,49.0,17.0,0.0,,,,,
Arkansas,90,27,20,23,1,3.0,2.0,5.0,73.0,52.0,90.0,43.0,14.0,3.0,3.0,0,17,9,18,77,92.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,
California,78,18,19,19,1,3.0,2.0,2.0,57.0,44.0,69.0,33.0,12.0,3.0,3.0,0,7,13,16,40,70.0,1.0,0.0,2.0,0.0,20.0,6.0,52.0,17.0,0.0,,,,,
Colorado,77,16,18,21,1,4.0,1.0,2.0,61.0,48.0,76.0,41.0,10.0,3.0,3.0,0,5,15,25,55,79.0,1.0,0.0,1.0,0.0,0.0,6.0,45.0,15.0,0.0,0.0,11.0,0.0,11.0,0.0
Connecticut,87,17,20,24,1,3.0,0.0,1.0,56.0,57.0,70.0,37.0,14.0,3.0,3.0,0,14,10,12,78,70.0,3.0,0.0,2.0,0.0,0.0,5.0,47.0,22.0,0.0,,,,,
Delaware,96,17,22,16,0,0.0,0.0,2.0,70.0,0.0,,,,,,11,0,12,12,87,,,,,,,,,,,,,,,
District of Columbia,83,18,17,18,1,3.0,2.0,3.0,49.0,42.0,68.0,40.0,11.0,6.0,2.0,0,6,6,15,54,59.0,1.0,0.0,1.0,0.0,0.0,1.0,50.0,14.0,0.0,,,,,
Florida,85,19,18,21,1,4.0,1.0,2.0,60.0,39.0,73.0,34.0,16.0,3.0,3.0,0,8,14,14,55,77.0,1.0,0.0,3.0,0.0,19.0,6.0,48.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0
Georgia,78,21,17,18,1,6.0,2.0,2.0,55.0,39.0,75.0,39.0,12.0,3.0,3.0,0,3,14,15,43,65.0,1.0,1.0,2.0,0.0,18.0,4.0,70.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0
Hawaii,82,18,20,17,1,6.0,2.0,1.0,76.0,50.0,78.0,39.0,13.0,4.0,2.0,0,5,29,19,47,,,,,,,,,,,,,,,
Idaho,93,18,20,23,1,3.0,1.0,2.0,68.0,56.0,94.0,43.0,11.0,3.0,3.0,0,11,6,6,32,,,,,,,,,,,,,,,
Illinois,79,20,19,19,1,4.0,1.0,2.0,56.0,46.0,73.0,39.0,11.0,3.0,4.0,1,9,10,14,55,65.0,1.0,0.0,1.0,0.0,15.0,8.0,57.0,14.0,0.0,,,,,
