,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Illinois,57,6,10,11,1,1.0,1.0,4.0,33.0,31.0,35.0,22.0,9.0,8.0,10.0,0,1,4,1,37,38.0,2.0,0.0,4.0,0.0,25.0,6.0,28.0,6.0,0.0,,,,,
Indiana,76,8,12,18,0,0.0,3.0,6.0,58.0,23.0,57.0,26.0,13.0,3.0,9.0,0,0,6,0,50,46.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,45.0,0.0,,,,,
Iowa,80,7,11,14,0,6.0,0.0,0.0,44.0,42.0,55.0,30.0,12.0,6.0,0.0,0,0,7,0,39,100.0,0.0,0.0,14.0,0.0,0.0,20.0,21.0,0.0,0.0,,,,,
Kansas,69,7,9,14,1,0.0,0.0,0.0,32.0,36.0,43.0,26.0,20.0,15.0,0.0,0,0,9,6,58,80.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,0.0,,,,,
Kentucky,66,6,12,17,0,5.0,0.0,14.0,45.0,39.0,54.0,24.0,33.0,0.0,0.0,0,0,9,0,54,49.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,,,,,
Louisiana,62,10,11,17,0,5.0,0.0,0.0,27.0,5.0,64.0,10.0,25.0,0.0,0.0,0,0,16,3,27,73.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,0.0,0.0,,,,,
Maine,71,6,12,11,0,,,,,,78.0,76.0,9.0,0.0,9.0,0,0,6,0,88,,,,,,,,,,,,,,,
Maryland,64,5,8,16,1,4.0,0.0,8.0,56.0,32.0,22.0,34.0,6.0,6.0,8.0,0,1,5,0,61,41.0,3.0,3.0,3.0,0.0,0.0,0.0,30.0,7.0,0.0,,,,,
Massachusetts,66,7,10,13,1,1.0,0.0,1.0,31.0,30.0,36.0,21.0,13.0,8.0,5.0,0,0,1,4,50,37.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,,,,,
Michigan,59,6,10,18,0,3.0,3.0,3.0,58.0,23.0,28.0,31.0,16.0,3.0,9.0,0,1,2,0,47,43.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,11.0,0.0,,,,,
Minnesota,68,5,11,13,0,0.0,2.0,4.0,45.0,35.0,62.0,37.0,10.0,0.0,6.0,0,1,4,3,62,80.0,0.0,3.0,0.0,0.0,,,,,,,,,,
Mississippi,57,9,9,14,0,0.0,0.0,0.0,71.0,0.0,35.0,23.0,11.0,0.0,0.0,0,0,7,7,30,58.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,72,6,9,16,1,4.0,0.0,6.0,69.0,23.0,13.0,27.0,14.0,6.0,6.0,0,2,5,1,72,53.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,7.0,0.0,,,,,
Montana,61,3,12,14,1,,,,,,36.0,0.0,0.0,17.0,17.0,0,0,0,0,47,,,,,,,,,,,,,,,
Nebraska,82,6,8,12,0,0.0,0.0,0.0,31.0,30.0,31.0,22.0,22.0,0.0,14.0,0,0,13,0,45,,,,,,0.0,0.0,52.0,0.0,0.0,,,,,
Nevada,45,8,6,13,0,0.0,0.0,6.0,100.0,13.0,13.0,13.0,6.0,0.0,12.0,0,0,0,4,34,58.0,0.0,0.0,8.0,0.0,0.0,22.0,45.0,0.0,0.0,,,,,
New Hampshire,63,4,13,9,1,8.0,0.0,0.0,26.0,8.0,26.0,50.0,8.0,8.0,16.0,0,5,0,0,38,,,,,,,,,,,,,,,
New Jersey,60,6,10,13,0,6.0,2.0,1.0,44.0,21.0,41.0,18.0,7.0,2.0,7.0,0,1,2,2,32,53.0,0.0,3.0,0.0,0.0,4.0,4.0,22.0,22.0,0.0,,,,,
New Mexico,100,12,11,17,1,0.0,0.0,9.0,82.0,20.0,100.0,29.0,38.0,9.0,28.0,0,6,12,0,78,,,,,,,,,,,,,,,
New York,60,5,8,9,0,1.0,1.0,4.0,37.0,26.0,34.0,24.0,14.0,5.0,3.0,0,2,2,2,39,37.0,0.0,0.0,0.0,0.0,16.0,0.0,26.0,21.0,0.0,,,,,
North Carolina,74,8,10,14,1,2.0,5.0,5.0,63.0,29.0,47.0,43.0,13.0,9.0,3.0,0,0,5,3,55,46.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,28.0,0.0,,,,,
North Dakota,82,5,9,19,2,0.0,0.0,0.0,79.0,0.0,,,,,,0,0,0,0,100,,,,,,,,,,,,,,,
Ohio,62,7,9,14,1,1.0,0.0,2.0,51.0,34.0,43.0,34.0,15.0,6.0,8.0,1,0,4,2,56,41.0,0.0,2.0,3.0,0.0,31.0,9.0,26.0,13.0,0.0,0.0,0.0,0.0,46.0,0.0
Oklahoma,61,10,7,17,0,0.0,0.0,5.0,98.0,28.0,23.0,33.0,5.0,0.0,5.0,0,0,0,0,78,64.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,,,,,
Oregon,63,8,10,12,0,8.0,0.0,3.0,40.0,22.0,65.0,35.0,13.0,0.0,8.0,2,3,2,0,44,67.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,28.0,0.0,0.0,100.0,0.0,0.0,0.0
Pennsylvania,67,6,11,14,1,5.0,0.0,2.0,48.0,33.0,46.0,34.0,14.0,7.0,4.0,0,1,1,0,44,49.0,1.0,0.0,1.0,0.0,11.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,37.0,0.0
Rhode Island,66,3,10,14,0,0.0,0.0,0.0,37.0,45.0,73.0,9.0,9.0,0.0,0.0,0,0,0,0,30,,,,,,,,,,,,,,,
South Carolina,72,9,9,13,0,5.0,5.0,5.0,73.0,20.0,41.0,40.0,10.0,5.0,9.0,0,0,6,3,40,39.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,34.0,0.0,,,,,
South Dakota,87,7,11,24,0,,,,,,0.0,0.0,20.0,0.0,0.0,0,0,12,0,27,,,,,,,,,,,,,,,
Tennessee,77,9,12,18,0,6.0,0.0,6.0,85.0,45.0,59.0,18.0,23.0,3.0,9.0,0,2,5,4,66,55.0,4.0,0.0,4.0,0.0,31.0,21.0,21.0,10.0,0.0,,,,,
Texas,67,7,11,12,0,3.0,1.0,4.0,58.0,23.0,44.0,40.0,17.0,5.0,8.0,0,1,3,1,46,47.0,3.0,1.0,5.0,0.0,19.0,2.0,37.0,24.0,0.0,,,,,
Utah,67,6,9,13,0,0.0,0.0,5.0,52.0,35.0,26.0,45.0,20.0,5.0,5.0,0,0,9,3,33,26.0,12.0,0.0,0.0,0.0,,,,,,,,,,
Vermont,70,4,9,16,0,0.0,0.0,0.0,64.0,0.0,0.0,30.0,0.0,0.0,14.0,0,0,9,0,10,,,,,,,,,,,,,,,
Virginia,63,6,9,10,0,4.0,2.0,2.0,41.0,21.0,32.0,35.0,14.0,5.0,5.0,0,2,4,1,49,59.0,2.0,0.0,3.0,0.0,0.0,0.0,32.0,40.0,0.0,,,,,
Washington,56,5,10,11,0,0.0,0.0,3.0,42.0,23.0,39.0,23.0,12.0,4.0,7.0,0,1,3,4,35,53.0,0.0,0.0,3.0,0.0,0.0,0.0,30.0,20.0,0.0,,,,,
West Virginia,72,15,22,16,0,0.0,0.0,0.0,95.0,18.0,19.0,18.0,36.0,0.0,0.0,0,11,11,0,73,,,,,,,,,,,,,,,
Wisconsin,64,6,10,12,0,2.0,0.0,7.0,41.0,42.0,33.0,25.0,20.0,4.0,4.0,0,1,3,1,41,33.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,,,,,
Wyoming,65,8,19,16,0,0.0,0.0,0.0,30.0,0.0,0.0,29.0,0.0,0.0,0.0,0,0,17,0,57,,,,,,,,,,,,,,,
