,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,65,7,7,18,0,5.0,0.0,5.0,64.0,26.0,52.0,26.0,20.0,0.0,5.0,0,0,3,0,51,26.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,0.0,0.0,,,,,
Alaska,67,4,6,12,0,0.0,0.0,0.0,49.0,0.0,0.0,47.0,0.0,0.0,0.0,0,0,9,9,51,,,,,,,,,,,,,,,
Arizona,67,6,10,11,1,0.0,0.0,4.0,50.0,29.0,51.0,23.0,14.0,6.0,10.0,0,2,6,0,52,48.0,0.0,0.0,3.0,0.0,0.0,14.0,29.0,14.0,0.0,,,,,
Arkansas,66,7,10,16,2,0.0,9.0,0.0,90.0,19.0,20.0,58.0,0.0,18.0,0.0,0,0,6,0,50,37.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,
California,56,6,9,10,0,1.0,1.0,2.0,42.0,24.0,43.0,27.0,14.0,4.0,5.0,0,0,4,2,32,48.0,0.0,0.0,1.0,0.0,15.0,2.0,22.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0
Colorado,57,4,8,14,0,2.0,2.0,2.0,42.0,13.0,22.0,22.0,15.0,4.0,0.0,0,1,4,1,31,55.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,30.0,0.0,,,,,
Connecticut,68,8,9,11,1,9.0,0.0,3.0,51.0,25.0,54.0,31.0,12.0,9.0,15.0,0,0,4,4,43,55.0,7.0,0.0,4.0,0.0,0.0,11.0,43.0,11.0,0.0,,,,,
Delaware,62,2,2,5,0,0.0,0.0,0.0,20.0,0.0,0.0,39.0,0.0,0.0,0.0,0,0,0,0,38,,,,,,,,,,,,,,,
District of Columbia,66,9,11,8,0,5.0,2.0,2.0,34.0,25.0,15.0,32.0,7.0,5.0,2.0,1,1,6,3,72,86.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,,,,,
Florida,60,7,10,11,1,4.0,1.0,5.0,58.0,25.0,45.0,28.0,9.0,6.0,3.0,0,1,3,1,41,40.0,2.0,0.0,2.0,0.0,19.0,3.0,41.0,14.0,0.0,,,,,
Georgia,62,9,12,12,0,7.0,1.0,3.0,61.0,23.0,32.0,31.0,21.0,5.0,5.0,0,1,0,4,49,66.0,0.0,0.0,1.0,0.0,32.0,4.0,60.0,28.0,0.0,,,,,
Hawaii,71,4,5,7,1,16.0,0.0,0.0,35.0,17.0,68.0,50.0,32.0,8.0,0.0,0,0,5,5,54,,,,,,,,,,,,,,,
Idaho,60,6,11,17,1,0.0,0.0,0.0,49.0,47.0,60.0,23.0,0.0,11.0,0.0,0,0,7,0,38,,,,,,,,,,,,,,,
