,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,83,11,12,11,1,5.0,0.0,0.0,31.0,20.0,60.0,27.0,6.0,6.0,6.0,0.0,0.0,11.0,5.0,59.0,55.0,0.0,0.0,9.0,0.0,0.0,0.0,25.0,0.0,0.0,,,,,
Alaska,53,7,14,7,0,0.0,0.0,0.0,47.0,0.0,0.0,60.0,0.0,0.0,19.0,0.0,0.0,16.0,0.0,69.0,,,,,,,,,,,,,,,
Arizona,77,7,8,12,1,2.0,4.0,0.0,45.0,7.0,23.0,31.0,11.0,5.0,5.0,0.0,2.0,0.0,4.0,63.0,51.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,,,,
Arkansas,76,11,13,13,0,0.0,0.0,0.0,75.0,21.0,55.0,68.0,40.0,0.0,0.0,0.0,11.0,0.0,0.0,94.0,,,,,,,,,,,,,,,
California,62,6,10,10,0,2.0,0.0,3.0,29.0,14.0,31.0,23.0,13.0,3.0,4.0,0.0,1.0,6.0,0.0,42.0,34.0,2.0,1.0,0.0,0.0,8.0,3.0,17.0,12.0,0.0,,,,,
Colorado,70,6,7,10,0,4.0,2.0,4.0,34.0,15.0,35.0,14.0,8.0,3.0,6.0,0.0,0.0,5.0,2.0,53.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,,,,,
Connecticut,79,6,10,13,0,0.0,3.0,0.0,36.0,23.0,38.0,29.0,12.0,4.0,0.0,0.0,7.0,7.0,0.0,60.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,,,,
Delaware,71,6,17,9,0,0.0,0.0,0.0,38.0,0.0,,,,,,0.0,0.0,20.0,0.0,21.0,,,,,,,,,,,,,,,
District of Columbia,65,6,9,10,0,0.0,0.0,2.0,28.0,10.0,23.0,22.0,9.0,0.0,3.0,0.0,0.0,8.0,0.0,66.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,
Florida,66,7,10,11,0,2.0,0.0,1.0,45.0,16.0,37.0,17.0,12.0,1.0,4.0,0.0,0.0,3.0,0.0,48.0,44.0,1.0,0.0,1.0,0.0,12.0,8.0,28.0,16.0,0.0,,,,,
Georgia,71,7,8,15,1,2.0,2.0,2.0,41.0,15.0,19.0,37.0,18.0,12.0,10.0,0.0,1.0,4.0,0.0,63.0,69.0,0.0,0.0,2.0,0.0,11.0,6.0,23.0,11.0,0.0,,,,,
Hawaii,70,10,8,18,1,0.0,8.0,0.0,9.0,35.0,46.0,23.0,11.0,11.0,0.0,0.0,0.0,9.0,0.0,30.0,,,,,,,,,,,,,,,
Idaho,64,15,9,23,0,12.0,0.0,12.0,0.0,25.0,82.0,48.0,32.0,0.0,0.0,0.0,0.0,13.0,13.0,70.0,,,,,,0.0,59.0,0.0,0.0,0.0,,,,,
Illinois,80,5,9,11,1,0.0,0.0,4.0,28.0,11.0,27.0,33.0,12.0,6.0,3.0,0.0,2.0,5.0,3.0,75.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,,,,,
Indiana,84,9,18,19,0,0.0,0.0,0.0,53.0,36.0,81.0,17.0,37.0,4.0,4.0,0.0,3.0,3.0,3.0,84.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,0.0,,,,,
Iowa,80,3,13,10,1,6.0,0.0,0.0,24.0,17.0,23.0,15.0,22.0,7.0,7.0,0.0,0.0,0.0,0.0,78.0,31.0,0.0,0.0,0.0,0.0,0.0,27.0,55.0,0.0,0.0,,,,,
