,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Kansas,71,5,6,8,1,0.0,0.0,0.0,56.0,10.0,40.0,33.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,,,,
Kentucky,82,9,10,15,0,14.0,0.0,0.0,22.0,14.0,66.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,73.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,,,,,
Louisiana,76,8,11,13,0,5.0,0.0,0.0,72.0,21.0,49.0,0.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,68.0,59.0,0.0,0.0,9.0,0.0,0.0,0.0,52.0,0.0,0.0,,,,,
Maine,73,8,10,12,0,0.0,0.0,0.0,58.0,0.0,100.0,49.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,,,,,,,,,,,,,,
Maryland,82,7,11,13,0,2.0,0.0,2.0,17.0,24.0,27.0,26.0,8.0,3.0,3.0,0.0,2.0,6.0,4.0,84.0,52.0,4.0,0.0,7.0,0.0,0.0,19.0,10.0,10.0,0.0,,,,,
Massachusetts,74,7,10,14,0,2.0,0.0,1.0,25.0,14.0,33.0,16.0,9.0,1.0,6.0,0.0,2.0,2.0,1.0,54.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,22.0,0.0,,,,,
Michigan,74,8,11,18,0,6.0,0.0,1.0,33.0,11.0,48.0,28.0,8.0,0.0,4.0,0.0,2.0,10.0,0.0,59.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,,,,,
Minnesota,80,6,14,15,1,2.0,4.0,0.0,46.0,17.0,51.0,28.0,8.0,8.0,8.0,0.0,9.0,4.0,2.0,53.0,82.0,0.0,0.0,4.0,0.0,,,,,,,,,,
Mississippi,85,12,12,12,0,0.0,0.0,0.0,82.0,13.0,52.0,52.0,34.0,0.0,0.0,0.0,0.0,14.0,14.0,60.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,92,8,8,12,0,4.0,2.0,2.0,52.0,23.0,44.0,35.0,19.0,3.0,11.0,0.0,4.0,2.0,0.0,92.0,38.0,4.0,4.0,4.0,0.0,0.0,0.0,30.0,10.0,0.0,,,,,
Montana,83,5,11,17,0,0.0,0.0,0.0,38.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,
Nebraska,100,3,12,23,0,0.0,0.0,7.0,30.0,15.0,59.0,19.0,19.0,0.0,0.0,0.0,0.0,8.0,0.0,93.0,,,,,,0.0,0.0,72.0,0.0,0.0,,,,,
Nevada,69,8,9,15,2,7.0,0.0,0.0,14.0,7.0,28.0,18.0,0.0,18.0,9.0,0.0,0.0,0.0,7.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
New Hampshire,55,2,6,15,0,0.0,0.0,8.0,17.0,24.0,75.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,,,,,,,,,,,,,
New Jersey,65,8,13,10,1,1.0,0.0,1.0,25.0,13.0,39.0,20.0,8.0,5.0,8.0,0.0,4.0,1.0,0.0,66.0,33.0,2.0,0.0,4.0,0.0,18.0,0.0,25.0,6.0,0.0,,,,,
New Mexico,89,4,20,13,0,10.0,0.0,0.0,73.0,20.0,40.0,13.0,39.0,0.0,13.0,0.0,0.0,0.0,0.0,59.0,,,,,,,,,,,,,,,
New York,63,5,7,10,1,1.0,1.0,3.0,24.0,11.0,31.0,20.0,13.0,5.0,4.0,0.0,2.0,4.0,1.0,49.0,39.0,1.0,0.0,0.0,0.0,12.0,2.0,19.0,17.0,0.0,,,,,
North Carolina,73,5,12,15,1,0.0,0.0,3.0,48.0,24.0,45.0,25.0,11.0,9.0,6.0,4.0,2.0,7.0,0.0,51.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,0.0,0.0,0.0,0.0,24.0,0.0
North Dakota,75,0,15,4,0,,,,,,,,,,,0.0,0.0,0.0,0.0,28.0,,,,,,,,,,,,,,,
Ohio,71,11,11,16,0,1.0,0.0,0.0,17.0,22.0,32.0,25.0,13.0,2.0,6.0,0.0,3.0,4.0,1.0,63.0,53.0,0.0,0.0,0.0,0.0,25.0,18.0,25.0,6.0,0.0,,,,,
Oklahoma,62,7,5,12,0,5.0,0.0,0.0,53.0,11.0,30.0,59.0,22.0,0.0,0.0,0.0,0.0,6.0,0.0,58.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,,,,,
Oregon,66,7,9,11,1,3.0,0.0,3.0,34.0,22.0,37.0,18.0,11.0,7.0,7.0,0.0,0.0,6.0,3.0,62.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,0.0,,,,,
Pennsylvania,73,7,10,13,0,5.0,0.0,3.0,39.0,22.0,36.0,34.0,20.0,4.0,7.0,0.0,2.0,3.0,0.0,57.0,49.0,0.0,0.0,9.0,0.0,15.0,5.0,25.0,10.0,0.0,,,,,
Rhode Island,56,3,5,10,0,0.0,0.0,0.0,63.0,9.0,0.0,34.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,,,,,,
South Carolina,89,5,9,13,0,0.0,0.0,0.0,32.0,26.0,20.0,20.0,26.0,0.0,13.0,0.0,11.0,5.0,0.0,59.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,,,,,
South Dakota,99,3,3,10,0,0.0,0.0,0.0,22.0,0.0,,,,,,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,
Tennessee,88,10,10,21,0,0.0,0.0,3.0,38.0,15.0,61.0,28.0,12.0,0.0,12.0,0.0,3.0,7.0,0.0,85.0,39.0,0.0,5.0,0.0,0.0,15.0,0.0,59.0,74.0,0.0,,,,,
Texas,73,7,11,12,1,1.0,0.0,2.0,35.0,15.0,33.0,34.0,15.0,5.0,6.0,0.0,1.0,3.0,5.0,71.0,45.0,2.0,0.0,4.0,0.0,15.0,0.0,36.0,3.0,0.0,,,,,
Utah,78,8,12,10,0,0.0,0.0,0.0,42.0,31.0,55.0,47.0,20.0,0.0,20.0,0.0,0.0,5.0,0.0,65.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,,,,,
Vermont,96,2,10,16,0,0.0,13.0,0.0,56.0,0.0,,,,,,0.0,0.0,0.0,0.0,77.0,,,,,,,,,,,,,,,
Virginia,66,7,11,12,1,0.0,0.0,3.0,23.0,11.0,43.0,31.0,15.0,6.0,1.0,0.0,1.0,3.0,1.0,38.0,62.0,0.0,0.0,2.0,0.0,0.0,6.0,23.0,6.0,0.0,0.0,0.0,17.0,0.0,0.0
Washington,67,8,11,13,1,0.0,0.0,3.0,29.0,13.0,36.0,30.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0,47.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,,,,,
West Virginia,86,12,10,22,0,16.0,0.0,16.0,100.0,16.0,43.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,28.0,0.0,0.0,0.0,,,,,,,,,,
Wisconsin,69,6,12,14,1,0.0,0.0,2.0,23.0,5.0,36.0,29.0,12.0,11.0,6.0,0.0,5.0,5.0,2.0,43.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,0.0,,,,,
Wyoming,85,0,4,13,0,0.0,0.0,0.0,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
