,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Georgia,64,14,14,15,1,7.0,2.0,3.0,59.0,40.0,56.0,38.0,12.0,3.0,3.0,0,4,5,5,35,61.0,1.0,0.0,2.0,0.0,24.0,6.0,62.0,19.0,0.0,8.0,0.0,15.0,0.0,0.0
Hawaii,72,11,18,13,1,3.0,0.0,1.0,96.0,65.0,65.0,34.0,17.0,6.0,6.0,0,5,8,6,67,,,,,,,,,,,,,,,
Idaho,79,16,15,22,0,3.0,0.0,2.0,64.0,52.0,63.0,49.0,18.0,3.0,6.0,0,0,10,14,46,,,,,,,,,,,,,,,
Illinois,67,15,14,16,0,4.0,2.0,4.0,58.0,48.0,56.0,34.0,11.0,3.0,4.0,0,2,5,7,37,69.0,1.0,0.0,1.0,0.0,25.0,6.0,59.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0
Indiana,83,16,19,26,1,6.0,2.0,2.0,75.0,68.0,87.0,45.0,17.0,5.0,6.0,0,3,8,5,53,74.0,2.0,0.0,1.0,0.0,0.0,4.0,69.0,27.0,0.0,,,,,
Iowa,75,15,16,21,0,1.0,0.0,2.0,67.0,48.0,72.0,45.0,13.0,2.0,5.0,0,5,5,10,35,78.0,0.0,1.0,1.0,0.0,0.0,4.0,64.0,0.0,0.0,,,,,
Kansas,71,15,12,21,0,4.0,0.0,4.0,64.0,43.0,84.0,43.0,14.0,2.0,4.0,0,1,11,9,41,74.0,0.0,0.0,0.0,0.0,0.0,3.0,73.0,26.0,0.0,,,,,
Kentucky,84,18,17,24,1,6.0,1.0,2.0,68.0,59.0,73.0,45.0,12.0,4.0,5.0,0,2,7,8,41,73.0,0.0,1.0,0.0,0.0,0.0,16.0,73.0,32.0,0.0,,,,,
Louisiana,62,18,14,23,1,6.0,2.0,2.0,73.0,44.0,60.0,52.0,14.0,6.0,5.0,0,2,3,6,50,71.0,1.0,0.0,4.0,0.0,0.0,0.0,78.0,18.0,0.0,,,,,
Maine,84,14,15,23,1,6.0,0.0,2.0,58.0,0.0,71.0,35.0,13.0,4.0,3.0,0,0,3,7,50,,,,,,,,,,,,,,,
Maryland,79,15,19,16,1,7.0,2.0,4.0,67.0,53.0,74.0,42.0,15.0,5.0,5.0,1,5,12,9,60,62.0,2.0,1.0,2.0,0.0,0.0,3.0,58.0,24.0,0.0,0.0,0.0,15.0,0.0,0.0
Massachusetts,71,13,14,18,1,3.0,1.0,3.0,62.0,52.0,54.0,33.0,8.0,4.0,3.0,0,3,7,7,36,60.0,1.0,0.0,2.0,0.0,0.0,5.0,59.0,24.0,0.0,,,,,
Michigan,68,15,16,19,1,5.0,2.0,2.0,64.0,44.0,58.0,38.0,13.0,4.0,4.0,0,4,8,4,37,69.0,1.0,0.0,1.0,0.0,0.0,5.0,49.0,27.0,0.0,,,,,
Minnesota,76,15,17,20,1,5.0,2.0,2.0,64.0,53.0,69.0,39.0,13.0,5.0,5.0,1,2,5,4,38,67.0,1.0,0.0,2.0,0.0,0.0,3.0,71.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0
Mississippi,69,17,16,18,0,4.0,1.0,2.0,84.0,48.0,71.0,48.0,25.0,3.0,4.0,2,6,2,4,29,63.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,100.0,0.0,0.0
Missouri,72,15,16,18,1,7.0,2.0,4.0,70.0,50.0,74.0,44.0,15.0,3.0,4.0,0,2,5,5,46,74.0,1.0,0.0,2.0,0.0,0.0,6.0,72.0,25.0,0.0,,,,,
Montana,83,14,19,24,0,,,,,,47.0,44.0,21.0,2.0,2.0,0,11,0,28,76,,,,,,,,,,,,,,,
Nebraska,82,12,16,17,1,4.0,1.0,2.0,67.0,56.0,67.0,41.0,25.0,4.0,0.0,0,5,5,10,59,,,,,,0.0,12.0,45.0,0.0,0.0,,,,,
Nevada,65,12,13,16,1,6.0,3.0,5.0,73.0,38.0,62.0,34.0,9.0,6.0,5.0,0,4,3,15,23,60.0,1.0,0.0,1.0,0.0,0.0,3.0,45.0,0.0,0.0,,,,,
New Hampshire,68,14,16,22,0,6.0,0.0,6.0,53.0,57.0,52.0,43.0,10.0,3.0,3.0,0,0,9,6,24,,,,,,,,,,,,,,,
New Jersey,72,15,16,18,1,5.0,2.0,5.0,66.0,47.0,62.0,32.0,10.0,4.0,3.0,0,4,9,6,46,67.0,0.0,1.0,2.0,0.0,27.0,6.0,48.0,18.0,0.0,,,,,
New Mexico,85,16,15,16,1,7.0,1.0,1.0,75.0,37.0,58.0,47.0,20.0,4.0,5.0,0,6,6,0,54,,,,,,,,,,,,,,,
New York,63,12,12,15,1,3.0,2.0,4.0,55.0,45.0,55.0,30.0,12.0,3.0,4.0,0,2,7,6,31,59.0,0.0,0.0,1.0,0.0,23.0,5.0,43.0,19.0,0.0,,,,,
North Carolina,71,17,16,19,1,7.0,1.0,3.0,69.0,53.0,66.0,43.0,11.0,4.0,3.0,0,3,7,7,45,72.0,1.0,0.0,2.0,0.0,0.0,4.0,72.0,33.0,0.0,,,,,
North Dakota,85,16,25,20,1,6.0,0.0,0.0,81.0,0.0,,,,,,0,0,0,14,100,,,,,,,,,,,,,,,
Ohio,74,14,18,21,1,3.0,1.0,4.0,66.0,57.0,71.0,42.0,12.0,6.0,4.0,1,4,6,5,47,76.0,1.0,0.0,1.0,0.0,33.0,5.0,55.0,34.0,0.0,,,,,
Oklahoma,70,18,18,17,0,6.0,2.0,3.0,69.0,47.0,74.0,41.0,11.0,3.0,5.0,0,5,5,4,48,69.0,0.0,0.0,2.0,0.0,0.0,9.0,52.0,0.0,0.0,,,,,
Oregon,59,11,10,12,0,4.0,1.0,2.0,55.0,34.0,42.0,29.0,15.0,3.0,3.0,1,3,4,6,31,58.0,2.0,1.0,1.0,0.0,0.0,7.0,38.0,16.0,0.0,,,,,
Pennsylvania,74,15,16,21,1,7.0,1.0,4.0,61.0,52.0,57.0,39.0,14.0,4.0,5.0,0,5,7,8,48,81.0,1.0,0.0,1.0,0.0,37.0,10.0,60.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0
Rhode Island,64,13,16,17,1,6.0,0.0,11.0,68.0,56.0,57.0,35.0,15.0,5.0,5.0,0,0,4,15,43,,,,,,,,,,,,,,,
South Carolina,75,17,18,19,1,5.0,3.0,3.0,71.0,50.0,70.0,37.0,10.0,6.0,7.0,0,5,6,1,51,70.0,0.0,0.0,2.0,0.0,0.0,3.0,75.0,30.0,0.0,,,,,
South Dakota,79,16,14,26,0,3.0,0.0,3.0,81.0,0.0,,,,,,0,0,0,0,32,,,,,,,,,,,,,,,
Tennessee,77,18,17,24,1,5.0,1.0,5.0,73.0,48.0,72.0,42.0,13.0,7.0,6.0,1,4,7,4,42,71.0,1.0,1.0,2.0,0.0,20.0,11.0,89.0,14.0,0.0,,,,,
Texas,71,16,14,15,1,5.0,1.0,3.0,64.0,43.0,56.0,35.0,13.0,4.0,4.0,0,4,5,6,33,62.0,1.0,0.0,1.0,0.0,23.0,7.0,58.0,17.0,0.0,,,,,
Utah,71,13,14,22,1,5.0,2.0,1.0,50.0,49.0,56.0,49.0,14.0,8.0,1.0,0,1,4,4,40,42.0,0.0,0.0,1.0,0.0,0.0,3.0,61.0,23.0,0.0,,,,,
Vermont,63,15,20,16,0,,,,,,0.0,33.0,12.0,3.0,0.0,0,0,0,13,36,,,,,,,,,,,,,,,
Virginia,71,15,14,17,1,6.0,2.0,5.0,70.0,46.0,61.0,36.0,13.0,4.0,3.0,0,4,5,5,47,61.0,1.0,0.0,2.0,0.0,0.0,6.0,57.0,24.0,0.0,,,,,
Washington,64,14,16,17,1,5.0,2.0,4.0,67.0,52.0,61.0,39.0,10.0,4.0,3.0,1,3,6,6,28,71.0,1.0,0.0,2.0,0.0,0.0,7.0,68.0,24.0,0.0,0.0,11.0,0.0,0.0,0.0
West Virginia,88,25,21,28,1,2.0,0.0,5.0,87.0,54.0,100.0,46.0,22.0,5.0,12.0,0,4,23,19,43,,,,,,,,,,,0.0,0.0,97.0,0.0,0.0
Wisconsin,68,14,16,19,0,5.0,1.0,6.0,62.0,59.0,61.0,42.0,13.0,3.0,4.0,1,1,12,6,46,82.0,1.0,1.0,3.0,0.0,0.0,11.0,74.0,20.0,0.0,,,,,
Wyoming,72,16,13,24,0,5.0,0.0,10.0,100.0,0.0,,,,,,0,0,22,0,24,,,,,,,,,,,,,,,
