,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,77,18,16,22,1,7.0,2.0,6.0,85.0,53.0,70.0,47.0,10.0,5.0,4.0,0,5,3,9,44,54.0,0.0,0.0,3.0,0.0,0.0,13.0,69.0,33.0,0.0,,,,,
Alaska,68,20,20,21,0,11.0,3.0,5.0,80.0,0.0,,,,,,0,0,6,6,46,,,,,,,,,,,,,,,
Arizona,72,16,18,18,1,4.0,1.0,4.0,89.0,53.0,66.0,39.0,15.0,4.0,5.0,0,2,6,11,39,78.0,0.0,1.0,3.0,0.0,0.0,4.0,55.0,20.0,0.0,,,,,
Arkansas,71,20,15,20,1,10.0,1.0,2.0,80.0,51.0,64.0,40.0,13.0,5.0,3.0,0,8,5,10,52,100.0,0.0,0.0,2.0,0.0,0.0,6.0,100.0,0.0,0.0,,,,,
California,63,13,14,15,0,4.0,2.0,3.0,64.0,44.0,56.0,33.0,12.0,3.0,3.0,0,3,6,6,27,63.0,0.0,0.0,1.0,0.0,20.0,5.0,47.0,20.0,0.0,,,,,
Colorado,60,10,13,15,0,4.0,1.0,3.0,58.0,51.0,52.0,35.0,10.0,2.0,4.0,0,2,8,6,34,53.0,1.0,2.0,2.0,0.0,0.0,4.0,39.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0
Connecticut,71,10,16,22,0,4.0,2.0,5.0,64.0,52.0,58.0,31.0,11.0,3.0,3.0,1,0,9,7,38,57.0,0.0,0.0,3.0,0.0,0.0,5.0,41.0,20.0,0.0,,,,,
Delaware,100,13,25,27,1,8.0,8.0,3.0,69.0,0.0,,,,,,0,5,17,17,32,,,,,,,,,,,,,,,
District of Columbia,68,13,12,17,0,6.0,3.0,5.0,60.0,38.0,41.0,24.0,10.0,2.0,2.0,0,3,7,7,43,48.0,0.0,1.0,1.0,0.0,0.0,6.0,78.0,17.0,0.0,0.0,0.0,34.0,0.0,0.0
Florida,65,14,15,17,0,5.0,2.0,3.0,64.0,39.0,57.0,33.0,13.0,3.0,4.0,1,4,6,9,32,60.0,1.0,0.0,2.0,0.0,23.0,7.0,57.0,20.0,0.0,0.0,0.0,9.0,4.0,0.0
