,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,87,23,20,25,1,7.0,1.0,3.0,80.0,63.0,89.0,41.0,12.0,4.0,3.0,2,10,16,6,46,84.0,1.0,0.0,2.0,0.0,0.0,7.0,72.0,18.0,0.0,,,,,
Alaska,73,16,13,18,1,6.0,3.0,8.0,100.0,0.0,,,,,,0,9,0,18,40,,,,,,,,,,,,,,,
Arizona,86,18,19,22,1,5.0,2.0,4.0,75.0,49.0,72.0,40.0,11.0,5.0,2.0,0,4,10,16,69,96.0,1.0,1.0,3.0,0.0,0.0,5.0,59.0,18.0,0.0,,,,,
Arkansas,87,19,21,23,1,5.0,0.0,5.0,72.0,55.0,86.0,40.0,16.0,4.0,2.0,0,7,18,11,95,82.0,4.0,2.0,4.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
California,74,16,18,18,1,4.0,2.0,3.0,70.0,47.0,57.0,29.0,11.0,3.0,3.0,0,5,9,13,40,68.0,0.0,1.0,2.0,0.0,18.0,7.0,45.0,19.0,0.0,,,,,
Colorado,72,15,15,17,0,3.0,2.0,2.0,71.0,46.0,49.0,31.0,7.0,2.0,2.0,0,2,4,14,47,56.0,1.0,0.0,1.0,0.0,0.0,2.0,42.0,12.0,0.0,0.0,0.0,50.0,0.0,0.0
Connecticut,80,19,19,23,1,5.0,2.0,4.0,64.0,64.0,71.0,32.0,13.0,6.0,3.0,0,7,14,9,47,69.0,1.0,0.0,1.0,0.0,0.0,7.0,51.0,23.0,0.0,0.0,0.0,48.0,0.0,0.0
Delaware,100,19,23,26,2,2.0,0.0,7.0,76.0,0.0,,,,,,0,8,33,8,100,,,,,,,,,,,,,,,
District of Columbia,76,14,17,14,1,3.0,1.0,2.0,50.0,51.0,53.0,32.0,10.0,4.0,2.0,0,2,13,7,50,54.0,1.0,0.0,4.0,0.0,0.0,2.0,28.0,9.0,0.0,0.0,0.0,50.0,0.0,0.0
Florida,78,19,17,20,1,4.0,2.0,2.0,68.0,48.0,59.0,34.0,15.0,4.0,5.0,0,4,10,14,49,67.0,1.0,1.0,2.0,0.0,17.0,2.0,51.0,14.0,0.0,0.0,8.0,8.0,17.0,0.0
Georgia,76,18,15,17,0,7.0,2.0,4.0,64.0,48.0,57.0,36.0,12.0,2.0,4.0,0,5,11,12,51,63.0,0.0,0.0,1.0,0.0,20.0,8.0,55.0,13.0,0.0,,,,,
Hawaii,75,16,17,16,0,3.0,1.0,6.0,87.0,48.0,49.0,30.0,10.0,2.0,3.0,0,3,19,13,39,,,,,,,,,,,,,,,
Idaho,97,18,14,18,0,2.0,1.0,4.0,99.0,77.0,70.0,42.0,10.0,1.0,3.0,0,5,10,5,50,,,,,,,,,,,,,,,
Illinois,80,17,17,18,1,5.0,2.0,3.0,60.0,42.0,54.0,33.0,10.0,4.0,4.0,1,3,10,11,55,65.0,0.0,0.0,2.0,0.0,21.0,4.0,47.0,17.0,0.0,0.0,0.0,11.0,11.0,0.0
Indiana,97,24,23,31,1,2.0,2.0,4.0,78.0,74.0,90.0,41.0,15.0,5.0,5.0,3,3,12,11,62,78.0,1.0,1.0,2.0,0.0,0.0,2.0,74.0,23.0,0.0,,,,,
Iowa,86,21,21,25,1,6.0,1.0,1.0,69.0,54.0,70.0,36.0,6.0,3.0,6.0,0,5,7,17,61,76.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,,,,,
Kansas,72,18,15,19,1,5.0,3.0,4.0,49.0,51.0,54.0,31.0,10.0,4.0,4.0,0,3,5,14,68,68.0,0.0,0.0,1.0,0.0,0.0,4.0,66.0,16.0,0.0,,,,,
Kentucky,90,21,19,26,1,4.0,3.0,5.0,65.0,53.0,71.0,43.0,9.0,5.0,5.0,0,3,14,11,42,76.0,1.0,0.0,3.0,0.0,0.0,6.0,70.0,14.0,0.0,,,,,
Louisiana,76,22,16,22,1,7.0,2.0,3.0,74.0,45.0,68.0,47.0,13.0,3.0,4.0,2,8,8,5,57,78.0,0.0,0.0,3.0,0.0,0.0,13.0,100.0,15.0,0.0,0.0,0.0,46.0,0.0,0.0
Maine,82,17,19,21,1,6.0,3.0,8.0,77.0,0.0,73.0,41.0,14.0,7.0,6.0,0,0,15,16,75,,,,,,,,,,,,,,,
Maryland,88,18,19,23,1,4.0,1.0,2.0,65.0,50.0,72.0,29.0,12.0,4.0,5.0,0,8,22,11,80,65.0,1.0,2.0,3.0,0.0,0.0,7.0,71.0,18.0,0.0,,,,,
Massachusetts,81,16,18,22,1,3.0,1.0,4.0,59.0,53.0,62.0,28.0,12.0,6.0,4.0,0,5,12,12,53,65.0,0.0,0.0,2.0,0.0,0.0,4.0,51.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0
Michigan,82,18,18,21,1,3.0,2.0,3.0,64.0,56.0,59.0,34.0,14.0,5.0,4.0,1,4,11,14,50,62.0,0.0,0.0,3.0,0.0,0.0,2.0,51.0,16.0,0.0,,,,,
Minnesota,83,14,21,22,1,3.0,1.0,4.0,58.0,54.0,69.0,40.0,13.0,5.0,5.0,0,7,11,16,65,82.0,1.0,0.0,1.0,0.0,0.0,12.0,53.0,11.0,0.0,,,,,
Mississippi,86,24,18,24,0,8.0,0.0,1.0,59.0,51.0,79.0,39.0,17.0,2.0,2.0,0,3,16,0,63,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,84,22,18,25,1,4.0,1.0,3.0,79.0,68.0,74.0,48.0,13.0,3.0,6.0,0,2,7,16,72,72.0,1.0,1.0,2.0,0.0,0.0,4.0,71.0,29.0,0.0,,,,,
Montana,81,18,16,25,0,5.0,5.0,0.0,73.0,0.0,100.0,26.0,19.0,2.0,9.0,0,8,0,8,64,,,,,,,,,,,,,,,
Nebraska,80,18,17,22,0,2.0,0.0,4.0,53.0,61.0,58.0,29.0,17.0,0.0,3.0,3,0,10,7,52,,,,,,0.0,13.0,52.0,0.0,0.0,,,,,
Nevada,82,17,16,18,0,6.0,1.0,4.0,71.0,53.0,63.0,35.0,14.0,2.0,2.0,0,2,2,14,51,79.0,0.0,1.0,1.0,0.0,0.0,3.0,51.0,0.0,0.0,,,,,
New Hampshire,74,18,20,21,1,1.0,1.0,0.0,71.0,61.0,64.0,32.0,8.0,4.0,1.0,0,9,5,18,56,,,,,,,,,,,,,,,
New Jersey,78,18,19,20,0,4.0,3.0,2.0,57.0,49.0,64.0,26.0,11.0,3.0,3.0,1,4,11,10,63,66.0,0.0,1.0,1.0,0.0,21.0,2.0,50.0,19.0,0.0,,,,,
New Mexico,97,19,25,25,2,8.0,0.0,1.0,73.0,68.0,72.0,39.0,17.0,11.0,6.0,0,0,5,32,45,,,,,,,,,,,,,,,
New York,73,15,16,17,1,3.0,1.0,3.0,54.0,42.0,52.0,29.0,10.0,3.0,4.0,0,6,10,12,39,60.0,1.0,0.0,2.0,0.0,17.0,3.0,45.0,14.0,0.0,,,,,
North Carolina,78,20,18,20,1,6.0,1.0,3.0,77.0,46.0,62.0,35.0,11.0,5.0,5.0,1,8,6,10,60,70.0,0.0,0.0,2.0,0.0,0.0,7.0,52.0,16.0,0.0,,,,,
North Dakota,79,21,22,21,0,,,,,,,,,,,0,19,10,0,65,,,,,,,,,,,,,,,
Ohio,87,20,20,24,1,7.0,1.0,5.0,63.0,61.0,65.0,38.0,13.0,5.0,6.0,0,5,8,9,68,86.0,1.0,1.0,3.0,0.0,22.0,6.0,56.0,21.0,0.0,,,,,
Oklahoma,79,22,20,23,0,5.0,2.0,1.0,66.0,45.0,65.0,36.0,13.0,3.0,3.0,2,11,10,12,57,86.0,0.0,0.0,2.0,0.0,0.0,13.0,73.0,0.0,0.0,,,,,
Oregon,55,10,11,12,0,2.0,1.0,2.0,67.0,39.0,35.0,22.0,8.0,3.0,2.0,1,5,4,9,31,57.0,0.0,0.0,1.0,0.0,0.0,3.0,36.0,4.0,0.0,,,,,
Pennsylvania,83,19,20,25,1,4.0,2.0,3.0,60.0,51.0,66.0,35.0,11.0,5.0,5.0,0,5,12,9,57,72.0,1.0,1.0,3.0,0.0,24.0,8.0,58.0,25.0,0.0,,,,,
