,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Rhode Island,87,21,15,20,2,8.0,2.0,2.0,78.0,59.0,52.0,30.0,7.0,9.0,6.0,0,0,11,6,56,,,,,,,,,,,,,,,
South Carolina,80,22,16,23,1,5.0,2.0,3.0,60.0,59.0,74.0,36.0,11.0,3.0,2.0,0,6,10,19,37,74.0,2.0,0.0,3.0,0.0,0.0,10.0,71.0,10.0,0.0,,,,,
South Dakota,99,17,20,34,1,,,,,,,,,,,0,10,0,10,55,,,,,,,,,,,,,,,
Tennessee,88,24,20,28,1,7.0,2.0,5.0,74.0,60.0,63.0,35.0,13.0,7.0,3.0,1,2,12,11,61,84.0,0.0,0.0,2.0,0.0,16.0,6.0,73.0,14.0,0.0,,,,,
Texas,81,19,18,20,1,5.0,2.0,3.0,75.0,45.0,58.0,32.0,13.0,3.0,5.0,0,6,8,10,52,74.0,0.0,0.0,2.0,0.0,21.0,7.0,49.0,17.0,0.0,,,,,
Utah,81,17,17,19,1,4.0,1.0,3.0,86.0,66.0,64.0,39.0,14.0,3.0,7.0,7,0,9,12,38,81.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,21.0,0.0,,,,,
Vermont,72,20,17,18,0,6.0,0.0,0.0,78.0,0.0,,,,,,0,19,10,10,63,,,,,,,,,,,,,,,
Virginia,64,15,13,15,0,2.0,1.0,2.0,56.0,33.0,38.0,24.0,10.0,2.0,2.0,0,7,8,10,43,51.0,0.0,0.0,1.0,0.0,0.0,3.0,52.0,12.0,0.0,0.0,0.0,11.0,0.0,0.0
Washington,77,17,17,21,1,2.0,2.0,3.0,79.0,50.0,74.0,37.0,10.0,3.0,3.0,1,4,7,19,35,70.0,0.0,0.0,3.0,0.0,0.0,4.0,32.0,19.0,0.0,0.0,0.0,21.0,0.0,0.0
West Virginia,83,26,19,24,1,2.0,0.0,2.0,79.0,68.0,84.0,49.0,12.0,3.0,7.0,0,0,27,27,35,,,,,,,,,,,,,,,
Wisconsin,84,19,20,23,0,4.0,1.0,4.0,70.0,61.0,60.0,36.0,13.0,2.0,3.0,0,5,14,13,47,66.0,1.0,0.0,2.0,0.0,0.0,7.0,72.0,17.0,0.0,0.0,0.0,30.0,0.0,0.0
Wyoming,93,21,12,19,1,0.0,0.0,0.0,75.0,0.0,0.0,40.0,28.0,4.0,0.0,0,0,47,16,34,,,,,,,,,,,,,,,
