,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Nevada,75,14,12,18,0,3.0,1.0,2.0,90.0,58.0,64.0,46.0,16.0,2.0,5.0,2,2,5,7,47,58.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,
New Hampshire,69,17,16,18,0,4.0,0.0,5.0,79.0,40.0,72.0,60.0,9.0,2.0,3.0,0,0,8,12,49,,,,,,,,,,,,,,,
New Jersey,75,14,15,19,1,6.0,1.0,4.0,70.0,39.0,59.0,40.0,15.0,4.0,7.0,1,2,6,6,69,70.0,0.0,0.0,1.0,0.0,19.0,1.0,38.0,27.0,0.0,,,,,
New Mexico,93,18,19,23,1,6.0,9.0,2.0,83.0,54.0,84.0,56.0,15.0,3.0,10.0,0,4,12,8,64,,,,,,,,,,,,,,,
New York,66,12,13,16,1,4.0,1.0,3.0,54.0,43.0,55.0,38.0,11.0,4.0,4.0,0,4,7,10,40,55.0,1.0,0.0,2.0,0.0,11.0,4.0,35.0,13.0,0.0,0.0,0.0,5.0,5.0,0.0
North Carolina,74,16,15,19,0,7.0,1.0,5.0,80.0,53.0,67.0,47.0,13.0,2.0,5.0,0,5,9,9,54,64.0,0.0,1.0,2.0,0.0,0.0,7.0,44.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0
North Dakota,92,12,20,31,2,0.0,4.0,4.0,100.0,0.0,,,,,,0,0,28,9,63,,,,,,,,,,,,,,,
Ohio,75,16,18,21,1,6.0,2.0,3.0,68.0,53.0,62.0,46.0,16.0,4.0,6.0,0,7,12,7,67,75.0,1.0,0.0,1.0,0.0,15.0,5.0,46.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0
Oklahoma,83,21,19,22,0,9.0,2.0,4.0,89.0,59.0,67.0,56.0,15.0,3.0,7.0,0,4,4,13,62,78.0,0.0,0.0,2.0,0.0,0.0,4.0,54.0,0.0,0.0,,,,,
Oregon,71,13,17,17,1,6.0,1.0,5.0,62.0,61.0,70.0,45.0,11.0,5.0,6.0,0,2,10,9,58,100.0,1.0,0.0,2.0,0.0,0.0,0.0,51.0,17.0,0.0,,,,,
Pennsylvania,76,14,17,19,1,5.0,2.0,5.0,66.0,54.0,70.0,44.0,17.0,5.0,6.0,0,4,9,7,65,79.0,1.0,1.0,1.0,0.0,16.0,5.0,43.0,31.0,0.0,0.0,0.0,26.0,13.0,0.0
Rhode Island,75,16,11,19,0,11.0,7.0,5.0,91.0,60.0,59.0,40.0,11.0,2.0,6.0,0,5,10,15,62,,,,,,,,,,,,,,,
South Carolina,77,18,17,18,1,5.0,2.0,2.0,77.0,56.0,76.0,46.0,17.0,4.0,6.0,0,0,5,0,73,57.0,0.0,1.0,3.0,0.0,0.0,3.0,49.0,31.0,0.0,,,,,
South Dakota,100,17,26,27,1,9.0,0.0,13.0,94.0,0.0,,,,,,0,10,10,20,78,,,,,,,,,,,,,,,
Tennessee,84,20,21,24,1,5.0,3.0,5.0,88.0,59.0,71.0,50.0,18.0,6.0,7.0,0,5,14,15,64,83.0,0.0,1.0,3.0,0.0,22.0,5.0,41.0,16.0,0.0,,,,,
Texas,67,16,15,17,1,5.0,2.0,3.0,67.0,43.0,61.0,45.0,16.0,4.0,5.0,0,4,6,7,40,62.0,1.0,0.0,1.0,0.0,19.0,8.0,42.0,13.0,0.0,0.0,0.0,0.0,5.0,0.0
Utah,80,12,17,19,1,4.0,0.0,4.0,80.0,63.0,68.0,34.0,15.0,4.0,5.0,0,2,15,13,51,66.0,2.0,0.0,0.0,0.0,0.0,3.0,27.0,22.0,0.0,,,,,
Vermont,82,13,17,14,1,,,,,,,,,,,0,8,9,9,38,,,,,,,,,,,,,,,
Virginia,75,16,17,16,1,5.0,2.0,5.0,61.0,47.0,64.0,43.0,13.0,3.0,7.0,0,4,5,6,77,61.0,2.0,0.0,3.0,0.0,0.0,4.0,58.0,15.0,0.0,,,,,
Washington,64,14,16,19,0,5.0,2.0,2.0,73.0,53.0,62.0,47.0,10.0,3.0,3.0,0,3,6,9,47,74.0,1.0,0.0,2.0,0.0,0.0,4.0,32.0,15.0,0.0,0.0,0.0,17.0,0.0,0.0
West Virginia,83,24,20,29,1,7.0,0.0,10.0,57.0,70.0,71.0,40.0,17.0,7.0,5.0,0,15,16,11,93,,,,,,,,,,,,,,,
Wisconsin,72,14,16,20,1,7.0,3.0,6.0,55.0,56.0,70.0,45.0,16.0,5.0,6.0,0,6,10,7,59,90.0,2.0,1.0,2.0,0.0,0.0,3.0,50.0,15.0,0.0,,,,,
Wyoming,71,9,17,21,1,0.0,0.0,21.0,94.0,0.0,,,,,,0,0,15,0,0,,,,,,,,,,,,,,,
