,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,65,10,12,14,0,4.0,0.0,2.0,68.0,53.0,75.0,43.0,10.0,2.0,5.0,0,0,7,0,90,68.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Alaska,66,10,14,8,0,0.0,0.0,0.0,48.0,0.0,,,,,,0,8,8,8,35,,,,,,,,,,,,,,,
Arizona,56,8,10,9,0,3.0,0.0,3.0,56.0,28.0,48.0,28.0,9.0,4.0,4.0,0,3,4,0,44,69.0,2.0,0.0,2.0,0.0,,,,,,,,,,
Arkansas,57,9,7,10,0,4.0,0.0,7.0,46.0,37.0,78.0,47.0,27.0,4.0,4.0,0,4,8,0,45,100.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,,,,,
California,49,6,9,9,0,2.0,1.0,3.0,32.0,21.0,45.0,25.0,16.0,2.0,3.0,0,1,3,2,29,53.0,1.0,0.0,1.0,0.0,20.0,1.0,33.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0
Colorado,49,6,9,10,0,2.0,2.0,4.0,42.0,39.0,64.0,27.0,19.0,1.0,3.0,0,1,7,6,39,49.0,2.0,5.0,0.0,0.0,0.0,0.0,39.0,30.0,0.0,,,,,
Connecticut,53,8,13,15,0,4.0,4.0,5.0,39.0,25.0,53.0,41.0,13.0,9.0,9.0,0,1,6,3,49,60.0,3.0,0.0,0.0,0.0,0.0,7.0,72.0,28.0,0.0,,,,,
Delaware,69,7,10,15,0,11.0,0.0,0.0,24.0,0.0,,,,,,0,11,12,11,92,,,,,,,,,,,,,,,
District of Columbia,54,6,9,9,0,2.0,2.0,8.0,33.0,27.0,46.0,26.0,13.0,6.0,3.0,1,2,4,2,60,61.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,13.0,0.0,,,,,
Florida,57,6,10,11,0,3.0,1.0,4.0,50.0,27.0,52.0,28.0,18.0,3.0,5.0,0,2,2,2,43,62.0,1.0,0.0,3.0,0.0,23.0,2.0,38.0,14.0,0.0,,,,,
