,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Georgia,58,8,12,13,0,3.0,0.0,4.0,41.0,29.0,54.0,43.0,15.0,2.0,5.0,0,3,4,3,38,76.0,0.0,0.0,2.0,0.0,21.0,5.0,51.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0
Hawaii,66,4,12,9,0,8.0,0.0,0.0,35.0,34.0,66.0,19.0,14.0,0.0,0.0,0,0,4,0,90,,,,,,,,,,,,,,,
Idaho,68,7,12,18,1,0.0,0.0,5.0,64.0,17.0,92.0,51.0,24.0,12.0,6.0,0,0,22,6,57,,,,,,,,,,,,,,,
Illinois,61,7,10,11,1,1.0,0.0,5.0,37.0,42.0,50.0,33.0,15.0,5.0,4.0,0,1,3,1,45,64.0,2.0,2.0,3.0,0.0,32.0,2.0,38.0,16.0,0.0,,,,,
Indiana,72,11,16,21,0,3.0,0.0,3.0,47.0,39.0,79.0,38.0,18.0,2.0,5.0,2,10,5,3,54,59.0,0.0,0.0,0.0,0.0,0.0,8.0,58.0,33.0,0.0,,,,,
Iowa,65,8,14,16,1,3.0,3.0,0.0,48.0,50.0,86.0,35.0,13.0,3.0,6.0,0,3,3,6,58,38.0,0.0,0.0,0.0,0.0,0.0,15.0,92.0,0.0,0.0,,,,,
Kansas,53,6,9,14,0,2.0,0.0,0.0,39.0,41.0,77.0,35.0,11.0,5.0,0.0,0,0,2,0,61,47.0,0.0,0.0,5.0,0.0,0.0,0.0,37.0,37.0,0.0,,,,,
Kentucky,62,9,11,15,0,4.0,2.0,4.0,36.0,45.0,59.0,45.0,14.0,5.0,5.0,0,2,9,0,54,82.0,0.0,0.0,4.0,0.0,0.0,0.0,66.0,11.0,0.0,,,,,
Louisiana,56,10,8,17,0,4.0,0.0,2.0,60.0,43.0,66.0,23.0,24.0,7.0,9.0,0,0,7,2,70,79.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,33.0,0.0,,,,,
Maine,59,8,10,15,0,0.0,4.0,4.0,69.0,0.0,45.0,38.0,0.0,5.0,5.0,0,0,0,0,100,,,,,,,,,,,,,,,
Maryland,57,6,11,12,1,2.0,0.0,3.0,45.0,24.0,47.0,34.0,24.0,5.0,2.0,0,3,2,3,53,68.0,0.0,2.0,2.0,0.0,0.0,0.0,33.0,32.0,0.0,0.0,0.0,21.0,0.0,0.0
Massachusetts,65,7,12,14,0,2.0,0.0,2.0,32.0,31.0,53.0,32.0,14.0,2.0,6.0,0,1,3,4,40,59.0,0.0,0.0,2.0,0.0,,,,,,0.0,0.0,0.0,12.0,0.0
Michigan,58,7,11,15,0,1.0,0.0,2.0,45.0,35.0,55.0,24.0,19.0,6.0,5.0,1,1,1,2,53,72.0,0.0,1.0,3.0,0.0,0.0,4.0,36.0,24.0,0.0,,,,,
Minnesota,69,7,12,16,1,0.0,0.0,6.0,28.0,43.0,56.0,39.0,18.0,2.0,8.0,0,0,3,3,70,67.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,,,,,
Mississippi,58,8,9,11,1,4.0,0.0,4.0,32.0,27.0,99.0,60.0,24.0,9.0,9.0,0,4,4,0,44,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,66,10,11,16,0,4.0,2.0,6.0,47.0,32.0,60.0,27.0,16.0,5.0,7.0,0,0,4,2,66,94.0,3.0,2.0,0.0,0.0,,,,,,,,,,
Montana,44,3,6,17,0,8.0,0.0,0.0,87.0,0.0,100.0,48.0,37.0,0.0,0.0,0,0,0,0,57,,,,,,,,,,,,,,,
Nebraska,69,6,9,16,0,0.0,4.0,7.0,52.0,43.0,82.0,44.0,17.0,16.0,8.0,0,8,4,4,39,,,,,,0.0,0.0,39.0,0.0,0.0,,,,,
Nevada,49,11,7,8,0,5.0,3.0,3.0,32.0,11.0,52.0,16.0,15.0,6.0,12.0,0,0,3,3,46,58.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,,,,,
New Hampshire,54,11,9,12,0,4.0,0.0,4.0,49.0,38.0,22.0,43.0,0.0,0.0,10.0,0,0,0,5,68,,,,,,,,,,,,,,,
New Jersey,57,8,11,12,0,3.0,2.0,4.0,38.0,27.0,47.0,27.0,12.0,3.0,4.0,0,3,4,0,42,70.0,1.0,1.0,1.0,0.0,20.0,5.0,44.0,23.0,0.0,,,,,
New Mexico,67,6,9,16,0,5.0,0.0,0.0,27.0,63.0,61.0,35.0,17.0,0.0,5.0,0,0,5,0,64,,,,,,,,,,,0.0,0.0,100.0,0.0,0.0
New York,55,5,9,11,0,2.0,2.0,3.0,35.0,30.0,42.0,26.0,15.0,4.0,6.0,0,2,3,2,36,52.0,1.0,1.0,1.0,0.0,24.0,3.0,39.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0
North Carolina,63,9,10,12,1,5.0,0.0,6.0,52.0,36.0,62.0,36.0,17.0,8.0,9.0,0,1,6,1,45,62.0,0.0,0.0,1.0,0.0,0.0,7.0,58.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0
North Dakota,76,5,16,16,0,,,,,,0.0,63.0,36.0,23.0,12.0,0,0,0,0,62,,,,,,,,,,,,,,,
Ohio,59,9,12,14,0,5.0,0.0,3.0,53.0,26.0,50.0,35.0,17.0,3.0,7.0,1,1,2,2,58,72.0,1.0,1.0,2.0,0.0,31.0,6.0,53.0,27.0,0.0,,,,,
Oklahoma,72,11,13,20,0,5.0,0.0,2.0,42.0,26.0,65.0,57.0,25.0,3.0,11.0,0,5,0,2,45,94.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,,,,,
Oregon,56,9,12,15,1,0.0,1.0,4.0,46.0,35.0,54.0,35.0,14.0,3.0,0.0,0,3,4,1,48,81.0,0.0,0.0,3.0,0.0,,,,,,,,,,
Pennsylvania,64,9,11,14,0,4.0,0.0,3.0,46.0,32.0,51.0,37.0,14.0,7.0,9.0,0,2,6,3,51,82.0,1.0,1.0,3.0,0.0,26.0,7.0,48.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0
Rhode Island,49,10,7,8,0,0.0,0.0,4.0,34.0,19.0,61.0,43.0,10.0,5.0,0.0,0,0,5,0,36,,,,,,,,,,,,,,,
South Carolina,63,9,13,12,0,2.0,0.0,2.0,100.0,25.0,53.0,54.0,17.0,2.0,5.0,0,0,4,2,35,75.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,0.0,,,,,
South Dakota,71,12,10,15,1,,,,,,0.0,69.0,19.0,0.0,0.0,0,9,0,0,68,,,,,,,,,,,,,,,
Tennessee,71,10,14,17,0,3.0,1.0,6.0,53.0,40.0,57.0,42.0,17.0,6.0,16.0,0,1,3,4,81,89.0,0.0,0.0,0.0,0.0,37.0,15.0,60.0,45.0,0.0,,,,,
Texas,60,8,10,13,0,3.0,1.0,2.0,45.0,30.0,49.0,31.0,15.0,4.0,4.0,0,2,5,2,51,64.0,2.0,1.0,2.0,0.0,20.0,2.0,36.0,17.0,0.0,,,,,
Utah,62,6,9,14,0,7.0,0.0,0.0,36.0,20.0,64.0,33.0,19.0,3.0,8.0,0,2,5,2,58,71.0,0.0,0.0,0.0,0.0,0.0,12.0,73.0,24.0,0.0,,,,,
Vermont,58,5,4,13,1,10.0,0.0,0.0,45.0,0.0,0.0,49.0,24.0,0.0,0.0,0,0,11,0,36,,,,,,,,,,,,,,,
Virginia,51,5,9,9,0,1.0,0.0,1.0,25.0,17.0,37.0,19.0,19.0,3.0,4.0,0,1,5,1,28,46.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,8.0,0.0,,,,,
Washington,54,8,11,11,0,3.0,1.0,3.0,43.0,31.0,48.0,30.0,6.0,3.0,3.0,1,2,3,2,51,67.0,2.0,2.0,1.0,0.0,0.0,3.0,75.0,27.0,0.0,,,,,
West Virginia,77,10,17,25,1,0.0,0.0,0.0,30.0,60.0,47.0,45.0,32.0,0.0,0.0,0,0,0,0,54,,,,,,,,,,,,,,,
Wisconsin,58,6,9,14,0,3.0,0.0,5.0,52.0,41.0,55.0,46.0,17.0,5.0,6.0,0,2,7,0,42,76.0,0.0,0.0,4.0,0.0,0.0,0.0,41.0,29.0,0.0,,,,,
Wyoming,100,15,13,16,1,0.0,0.0,0.0,41.0,0.0,0.0,59.0,14.0,0.0,0.0,0,0,0,0,59,,,,,,,,,,,,,,,
