,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,59,10,7,13,0,0.0,4.0,0.0,32.0,8.0,16.0,32.0,0.0,0.0,8.0,0.0,5.0,0.0,5.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,,,,,
Alaska,49,8,11,6,0,0.0,0.0,0.0,12.0,0.0,,,,,,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,
Arizona,56,5,8,10,1,0.0,0.0,2.0,11.0,9.0,21.0,14.0,7.0,7.0,3.0,0.0,0.0,4.0,0.0,48.0,35.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0.0,,,,,
Arkansas,59,4,8,10,2,0.0,0.0,0.0,24.0,0.0,0.0,48.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,96.0,0.0,0.0,0.0,0.0,,,,,,,,,,
California,57,5,7,9,0,0.0,1.0,1.0,15.0,6.0,22.0,15.0,10.0,4.0,3.0,0.0,2.0,5.0,1.0,29.0,47.0,1.0,1.0,1.0,0.0,15.0,5.0,26.0,28.0,0.0,0.0,0.0,26.0,0.0,0.0
Colorado,53,4,8,10,1,0.0,0.0,2.0,21.0,3.0,17.0,14.0,7.0,7.0,7.0,0.0,0.0,4.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Connecticut,59,4,9,16,1,0.0,0.0,3.0,10.0,5.0,16.0,0.0,15.0,5.0,5.0,0.0,0.0,3.0,0.0,43.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Delaware,57,3,3,7,0,,,,,,,,,,,0.0,0.0,17.0,0.0,37.0,,,,,,,,,,,,,,,
District of Columbia,60,3,11,9,0,5.0,0.0,0.0,14.0,2.0,11.0,11.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,52.0,42.0,0.0,0.0,7.0,0.0,0.0,0.0,21.0,63.0,0.0,,,,,
Florida,57,4,9,9,0,1.0,1.0,3.0,11.0,4.0,21.0,18.0,6.0,0.0,4.0,0.0,0.0,4.0,1.0,29.0,42.0,0.0,0.0,0.0,0.0,17.0,0.0,25.0,33.0,0.0,,,,,
Georgia,61,5,7,11,0,2.0,0.0,1.0,13.0,11.0,17.0,15.0,17.0,4.0,7.0,1.0,1.0,0.0,2.0,32.0,45.0,4.0,0.0,4.0,0.0,11.0,0.0,11.0,11.0,0.0,,,,,
Hawaii,66,5,7,12,0,0.0,0.0,0.0,21.0,7.0,14.0,42.0,27.0,0.0,14.0,0.0,8.0,0.0,0.0,54.0,,,,,,,,,,,,,,,
Idaho,68,4,4,13,2,0.0,0.0,0.0,9.0,18.0,37.0,37.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,36.0,,,,,,,,,,,,,,,
Illinois,62,5,8,10,0,0.0,0.0,0.0,15.0,8.0,19.0,18.0,13.0,3.0,0.0,0.0,1.0,2.0,2.0,45.0,46.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,16.0,0.0,,,,,
Indiana,80,6,8,16,1,0.0,0.0,3.0,29.0,8.0,42.0,16.0,5.0,5.0,10.0,0.0,0.0,3.0,0.0,27.0,31.0,0.0,0.0,10.0,0.0,0.0,0.0,63.0,31.0,0.0,,,,,
Iowa,64,2,7,15,1,0.0,0.0,0.0,17.0,13.0,34.0,68.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Kansas,51,8,9,17,2,0.0,0.0,0.0,4.0,13.0,34.0,8.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,54.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,
Kentucky,86,8,5,9,2,5.0,0.0,0.0,16.0,16.0,53.0,31.0,0.0,20.0,10.0,0.0,0.0,0.0,6.0,40.0,41.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Louisiana,66,10,11,7,2,0.0,0.0,4.0,32.0,8.0,8.0,16.0,0.0,16.0,8.0,0.0,0.0,5.0,0.0,41.0,16.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Maine,71,11,18,13,0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,,,,,,,,,,,,,,
Maryland,63,6,8,13,0,2.0,2.0,6.0,13.0,11.0,23.0,10.0,10.0,3.0,10.0,0.0,0.0,0.0,4.0,55.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,,,,,
Massachusetts,62,4,6,12,0,2.0,0.0,2.0,5.0,11.0,22.0,12.0,17.0,3.0,2.0,0.0,0.0,2.0,0.0,24.0,65.0,3.0,3.0,3.0,0.0,0.0,10.0,41.0,20.0,0.0,,,,,
Michigan,56,3,7,10,1,0.0,0.0,1.0,25.0,6.0,27.0,21.0,9.0,5.0,5.0,0.0,3.0,1.0,0.0,37.0,61.0,0.0,0.0,5.0,0.0,0.0,0.0,57.0,0.0,0.0,,,,,
Minnesota,68,4,5,11,0,0.0,0.0,3.0,18.0,10.0,26.0,29.0,6.0,3.0,3.0,0.0,2.0,8.0,2.0,57.0,26.0,6.0,0.0,6.0,0.0,0.0,0.0,39.0,39.0,0.0,,,,,
Mississippi,58,5,9,5,0,0.0,0.0,0.0,100.0,0.0,40.0,40.0,20.0,0.0,0.0,0.0,12.0,0.0,12.0,38.0,39.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,68,4,8,10,0,2.0,0.0,3.0,25.0,13.0,13.0,13.0,10.0,3.0,3.0,0.0,0.0,4.0,0.0,36.0,86.0,0.0,0.0,6.0,0.0,0.0,20.0,40.0,0.0,0.0,,,,,
Montana,84,7,7,4,3,0.0,0.0,0.0,15.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,77.0,,,,,,,,,,,,,,,
Nebraska,100,10,7,19,0,5.0,0.0,5.0,11.0,17.0,91.0,22.0,22.0,0.0,0.0,0.0,7.0,7.0,0.0,43.0,,,,,,,,,,,,,,,
Nevada,62,3,4,7,0,0.0,0.0,0.0,24.0,0.0,12.0,48.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,
New Hampshire,48,6,12,11,0,0.0,0.0,0.0,20.0,6.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,,,,,,,,,,,,,,
New Jersey,58,5,7,9,0,0.0,0.0,0.0,14.0,7.0,26.0,17.0,4.0,2.0,2.0,0.0,0.0,1.0,4.0,46.0,54.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,25.0,0.0,,,,,
New Mexico,96,8,4,6,0,0.0,0.0,0.0,8.0,0.0,34.0,67.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,54.0,,,,,,,,,,,,,,,
New York,59,5,6,8,1,2.0,0.0,1.0,14.0,6.0,17.0,16.0,9.0,6.0,6.0,0.0,0.0,2.0,0.0,33.0,35.0,3.0,0.0,0.0,0.0,9.0,9.0,32.0,28.0,0.0,,,,,
North Carolina,71,6,5,10,0,1.0,4.0,1.0,15.0,11.0,28.0,22.0,16.0,3.0,5.0,0.0,2.0,2.0,0.0,33.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,0.0,,,,,
North Dakota,82,0,14,5,0,0.0,0.0,0.0,39.0,0.0,,,,,,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,
Ohio,58,4,9,13,0,1.0,0.0,1.0,15.0,2.0,38.0,16.0,10.0,0.0,4.0,0.0,1.0,4.0,0.0,32.0,55.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,12.0,0.0,,,,,
Oklahoma,71,5,6,8,1,0.0,0.0,0.0,31.0,13.0,36.0,27.0,0.0,9.0,0.0,0.0,0.0,5.0,5.0,57.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,,,,,
Oregon,81,4,9,7,2,0.0,0.0,2.0,12.0,9.0,55.0,18.0,0.0,13.0,5.0,0.0,0.0,6.0,0.0,41.0,73.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Pennsylvania,62,5,7,13,0,1.0,0.0,2.0,24.0,8.0,20.0,18.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,63.0,0.0,6.0,3.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0
Rhode Island,56,8,7,12,0,0.0,0.0,0.0,14.0,7.0,43.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,,,,,,,,,,,,,
South Carolina,57,4,3,10,0,4.0,0.0,0.0,16.0,4.0,16.0,24.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,,,,,
South Dakota,82,8,13,4,0,17.0,0.0,17.0,18.0,0.0,,,,,,0.0,0.0,42.0,0.0,45.0,,,,,,,,,,,,,,,
Tennessee,71,5,4,18,1,2.0,0.0,2.0,19.0,14.0,19.0,19.0,5.0,5.0,9.0,0.0,0.0,3.0,3.0,33.0,56.0,9.0,0.0,0.0,0.0,0.0,0.0,85.0,56.0,0.0,,,,,
Texas,63,6,6,9,1,0.0,0.0,0.0,20.0,9.0,29.0,26.0,13.0,6.0,5.0,0.0,0.0,5.0,2.0,37.0,38.0,2.0,0.0,4.0,0.0,11.0,0.0,17.0,23.0,0.0,,,,,
Utah,69,4,8,12,0,0.0,0.0,0.0,30.0,0.0,51.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,,,,,
Vermont,41,5,8,11,0,0.0,0.0,0.0,23.0,0.0,0.0,22.0,45.0,0.0,0.0,0.0,0.0,0.0,14.0,43.0,,,,,,,,,,,,,,,
Virginia,59,4,9,10,0,0.0,0.0,2.0,12.0,6.0,30.0,20.0,22.0,4.0,11.0,0.0,0.0,2.0,0.0,36.0,37.0,0.0,0.0,4.0,0.0,0.0,0.0,55.0,22.0,0.0,,,,,
Washington,60,6,9,10,0,0.0,0.0,2.0,14.0,4.0,18.0,26.0,12.0,0.0,4.0,0.0,0.0,5.0,1.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,0.0,,,,,
West Virginia,59,6,12,12,0,0.0,0.0,0.0,63.0,12.0,100.0,25.0,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Wisconsin,59,3,6,14,0,2.0,2.0,2.0,13.0,13.0,26.0,25.0,11.0,4.0,11.0,0.0,0.0,2.0,0.0,33.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,43.0,21.0,0.0,,,,,
Wyoming,64,5,0,0,0,0.0,0.0,0.0,46.0,0.0,,,,,,0.0,0.0,0.0,0.0,87.0,,,,,,,,,,,,,,,
