,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Alabama,76,10,12,22,1,3.0,0.0,10.0,75.0,50.0,89.0,67.0,24.0,9.0,9.0,0,9,3,6,76,42.0,0.0,0.0,9.0,0.0,0.0,13.0,55.0,20.0,0.0,,,,,
Alaska,72,13,18,9,1,,,,,,,,,,,0,9,0,9,100,,,,,,,,,,,,,,,
Arizona,66,12,14,16,0,5.0,1.0,7.0,57.0,39.0,50.0,59.0,12.0,2.0,6.0,0,1,6,7,62,62.0,1.0,0.0,3.0,0.0,0.0,5.0,23.0,22.0,0.0,0.0,0.0,0.0,23.0,0.0
Arkansas,66,14,11,12,0,7.0,0.0,6.0,62.0,34.0,77.0,61.0,14.0,0.0,3.0,0,0,0,11,55,66.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,,,,,
California,46,6,8,9,0,3.0,1.0,2.0,32.0,24.0,35.0,26.0,18.0,3.0,3.0,0,2,4,3,25,37.0,0.0,0.0,1.0,0.0,8.0,5.0,19.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0
Colorado,61,10,12,15,1,1.0,1.0,4.0,45.0,49.0,53.0,38.0,10.0,5.0,3.0,1,1,3,3,58,72.0,1.0,0.0,3.0,0.0,0.0,0.0,41.0,14.0,0.0,,,,,
Connecticut,70,9,14,15,1,7.0,1.0,3.0,53.0,36.0,69.0,47.0,10.0,6.0,6.0,0,4,11,6,48,68.0,2.0,4.0,0.0,0.0,0.0,8.0,13.0,17.0,0.0,,,,,
Delaware,86,8,10,21,0,9.0,0.0,9.0,75.0,0.0,,,,,,15,0,0,15,85,,,,,,,,,,,,,,,
District of Columbia,63,9,12,12,0,5.0,1.0,3.0,47.0,34.0,50.0,54.0,11.0,4.0,3.0,0,1,5,3,53,49.0,0.0,0.0,3.0,0.0,0.0,2.0,37.0,36.0,0.0,0.0,0.0,21.0,0.0,0.0
Florida,59,11,12,16,0,5.0,1.0,4.0,56.0,34.0,57.0,52.0,15.0,4.0,5.0,0,3,3,5,48,55.0,1.0,0.0,1.0,0.0,9.0,4.0,38.0,19.0,0.0,,,,,
