,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Georgia,64,12,14,15,1,5.0,1.0,3.0,56.0,42.0,60.0,41.0,13.0,4.0,5.0,0,2,8,3,46,60.0,1.0,0.0,1.0,0.0,12.0,8.0,37.0,23.0,0.0,,,,,
Hawaii,67,13,13,13,1,10.0,0.0,3.0,64.0,29.0,57.0,52.0,24.0,10.0,13.0,0,5,5,11,42,,,,,,,,,,,,,,,
Idaho,59,9,15,27,2,5.0,0.0,5.0,90.0,72.0,52.0,62.0,10.0,19.0,5.0,0,0,8,0,73,,,,,,,,,,,,,,,
Illinois,67,12,14,14,1,6.0,2.0,5.0,54.0,41.0,73.0,60.0,15.0,6.0,5.0,2,3,6,6,48,74.0,0.0,1.0,2.0,0.0,15.0,4.0,28.0,19.0,0.0,0.0,0.0,0.0,24.0,0.0
Indiana,90,14,19,25,1,5.0,0.0,3.0,66.0,70.0,88.0,75.0,14.0,8.0,9.0,0,0,25,7,69,88.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,15.0,0.0,,,,,
Iowa,72,10,16,22,1,3.0,0.0,0.0,75.0,35.0,86.0,78.0,12.0,8.0,8.0,0,0,9,5,68,100.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,0.0,0.0,,,,,
Kansas,62,13,12,17,0,4.0,0.0,4.0,51.0,39.0,74.0,52.0,22.0,4.0,11.0,0,0,3,3,78,49.0,3.0,0.0,7.0,0.0,0.0,0.0,52.0,7.0,0.0,,,,,
Kentucky,68,13,13,20,1,5.0,2.0,2.0,49.0,44.0,70.0,55.0,18.0,5.0,2.0,0,3,11,0,70,66.0,3.0,0.0,3.0,0.0,0.0,12.0,55.0,12.0,0.0,,,,,
Louisiana,66,10,12,17,1,7.0,0.0,2.0,72.0,42.0,43.0,69.0,30.0,11.0,3.0,0,0,0,3,71,46.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0,32.0,0.0,,,,,
Maine,67,13,15,14,1,4.0,0.0,4.0,43.0,0.0,60.0,59.0,15.0,7.0,4.0,0,0,0,0,61,,,,,,,,,,,,,,,
Maryland,74,9,17,17,1,3.0,2.0,3.0,55.0,26.0,63.0,40.0,11.0,5.0,10.0,0,4,9,1,67,82.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,17.0,0.0,,,,,
Massachusetts,66,8,11,14,1,5.0,1.0,3.0,43.0,38.0,52.0,39.0,14.0,4.0,5.0,1,2,7,3,45,48.0,1.0,0.0,1.0,0.0,0.0,6.0,26.0,29.0,0.0,0.0,0.0,13.0,0.0,0.0
Michigan,69,14,15,19,1,4.0,3.0,2.0,56.0,50.0,70.0,46.0,24.0,7.0,6.0,0,7,10,2,56,80.0,0.0,0.0,1.0,0.0,0.0,2.0,55.0,10.0,0.0,0.0,0.0,21.0,0.0,0.0
Minnesota,73,13,17,23,1,4.0,0.0,5.0,53.0,43.0,53.0,42.0,15.0,7.0,6.0,0,3,8,5,64,58.0,0.0,1.0,0.0,0.0,0.0,9.0,36.0,18.0,0.0,,,,,
Mississippi,63,14,13,15,1,0.0,0.0,0.0,57.0,18.0,80.0,46.0,21.0,6.0,0.0,0,0,6,0,37,52.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,75,14,15,19,1,3.0,3.0,2.0,62.0,52.0,70.0,56.0,14.0,6.0,5.0,2,1,10,6,66,51.0,0.0,1.0,2.0,0.0,0.0,7.0,58.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0
Montana,61,10,16,20,2,0.0,0.0,0.0,76.0,0.0,48.0,75.0,17.0,16.0,0.0,0,0,0,0,61,,,,,,,,,,,,,,,
Nebraska,75,17,10,19,0,0.0,0.0,6.0,62.0,54.0,63.0,59.0,13.0,0.0,12.0,0,5,5,11,65,,,,,,,,,,,0.0,0.0,100.0,0.0,0.0
Nevada,69,10,11,17,0,4.0,0.0,0.0,53.0,42.0,63.0,53.0,17.0,4.0,6.0,0,10,3,3,40,55.0,0.0,0.0,0.0,0.0,,,,,,,,,,
New Hampshire,59,14,13,16,0,7.0,0.0,11.0,29.0,32.0,58.0,58.0,15.0,3.0,0.0,0,0,12,6,33,,,,,,,,,,,,,,,
New Jersey,62,10,13,15,1,1.0,1.0,4.0,51.0,33.0,53.0,45.0,11.0,5.0,2.0,1,1,8,4,43,60.0,1.0,0.0,2.0,0.0,17.0,4.0,25.0,23.0,0.0,,,,,
New Mexico,100,18,19,19,1,4.0,0.0,0.0,68.0,57.0,90.0,63.0,14.0,9.0,4.0,0,15,15,0,93,,,,,,,,,,,,,,,
New York,58,9,11,14,1,4.0,2.0,3.0,49.0,33.0,45.0,40.0,13.0,5.0,3.0,0,3,7,2,43,57.0,1.0,1.0,1.0,0.0,10.0,4.0,29.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0
North Carolina,70,14,13,16,1,4.0,2.0,3.0,51.0,39.0,71.0,64.0,11.0,5.0,7.0,0,2,5,0,58,65.0,0.0,1.0,0.0,0.0,0.0,2.0,44.0,25.0,0.0,,,,,
North Dakota,66,17,10,24,1,,,,,,,,,,,0,0,29,0,48,,,,,,,,,,,,,,,
Ohio,72,13,17,18,0,5.0,1.0,4.0,56.0,37.0,59.0,56.0,19.0,4.0,2.0,0,5,5,6,85,71.0,0.0,0.0,3.0,0.0,15.0,0.0,48.0,14.0,0.0,,,,,
Oklahoma,59,15,19,17,0,2.0,0.0,2.0,59.0,29.0,58.0,84.0,17.0,2.0,6.0,0,10,3,0,69,82.0,3.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,,,,,
Oregon,66,13,15,18,0,7.0,2.0,3.0,54.0,44.0,64.0,57.0,12.0,1.0,0.0,0,2,8,10,56,72.0,0.0,0.0,0.0,0.0,0.0,21.0,41.0,35.0,0.0,,,,,
Pennsylvania,68,12,16,19,0,4.0,2.0,5.0,53.0,34.0,71.0,44.0,17.0,4.0,7.0,0,3,9,4,50,63.0,1.0,0.0,3.0,0.0,14.0,1.0,35.0,27.0,0.0,0.0,0.0,13.0,25.0,0.0
Rhode Island,72,10,17,19,0,0.0,0.0,4.0,39.0,38.0,61.0,34.0,12.0,0.0,7.0,0,0,0,0,55,,,,,,,,,,,,,,,
South Carolina,69,14,17,16,1,2.0,2.0,2.0,71.0,32.0,43.0,50.0,15.0,5.0,2.0,0,0,3,6,54,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,
South Dakota,74,16,9,22,1,0.0,6.0,0.0,70.0,0.0,,,,,,0,0,10,0,56,,,,,,,,,,,,,,,
Tennessee,77,12,15,23,1,7.0,1.0,4.0,77.0,33.0,63.0,62.0,15.0,5.0,4.0,0,4,13,2,51,69.0,0.0,2.0,2.0,0.0,16.0,4.0,55.0,25.0,0.0,,,,,
Texas,62,11,12,14,1,4.0,1.0,3.0,58.0,36.0,55.0,47.0,18.0,5.0,6.0,1,2,6,5,58,57.0,1.0,0.0,1.0,0.0,13.0,5.0,28.0,13.0,0.0,,,,,
Utah,61,12,12,12,0,2.0,0.0,4.0,59.0,38.0,59.0,53.0,19.0,2.0,9.0,4,0,7,0,78,53.0,0.0,0.0,0.0,0.0,0.0,8.0,60.0,17.0,0.0,,,,,
Vermont,54,7,6,9,1,,,,,,,,,,,0,5,15,15,17,,,,,,,,,,,,,,,
Virginia,43,5,6,8,0,3.0,1.0,2.0,26.0,20.0,29.0,22.0,20.0,2.0,2.0,0,1,3,1,22,26.0,0.0,0.0,1.0,0.0,0.0,4.0,17.0,9.0,0.0,,,,,
Washington,60,11,12,14,0,2.0,1.0,3.0,55.0,34.0,48.0,47.0,11.0,4.0,3.0,0,3,10,5,47,52.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,10.0,0.0,0.0,0.0,17.0,0.0,0.0
West Virginia,87,21,11,20,0,0.0,0.0,0.0,100.0,54.0,92.0,100.0,17.0,0.0,8.0,0,13,0,13,15,,,,,,,,,,,,,,,
Wisconsin,67,12,12,18,1,6.0,3.0,3.0,49.0,45.0,53.0,50.0,23.0,6.0,9.0,0,3,8,3,64,51.0,0.0,0.0,3.0,0.0,0.0,7.0,26.0,11.0,0.0,,,,,
Wyoming,54,11,25,19,0,,,,,,,,,,,0,0,0,0,20,,,,,,,,,,,,,,,
